car_id,price,car_type_id,transmission_type_id,fuel_type_id
647,43495,795928,554,735
654,11498,782406,178,372
656,10698,777902,178,372
683,16995,267024,178,735
685,18995,267024,178,735
687,12995,144686,178,372
688,15995,729811,178,372
700,15590,175267,178,735
702,12500,782406,178,372
707,13795,457003,178,735
709,18990,770479,550,735
713,37995,198650,178,735
725,31000,391663,554,735
727,22495,439777,178,735
742,33995,184668,550,735
744,11495,144686,178,735
747,37395,184668,554,735
753,42500,715324,554,735
758,25995,795928,550,735
762,23995,439777,178,372
763,23374,439777,178,735
765,11495,782406,178,372
772,17698,576133,550,372
785,16995,770479,550,735
795,17498,758906,550,735
802,14849,370344,178,735
803,10994,782406,178,372
808,17495,470632,178,735
812,20000,758906,550,735
813,13998,712961,178,735
821,10495,144686,178,372
828,24498,385865,550,372
838,19688,470632,178,372
839,13688,782406,178,372
840,22988,470632,550,372
843,26500,762151,550,735
851,22995,439777,554,735
853,28495,439777,554,372
856,28495,439777,554,372
858,24495,904615,550,372
861,19850,729811,550,372
898,30995,795928,554,372
899,23495,904615,178,372
918,18498,770479,550,735
922,9995,777902,178,735
924,19888,839749,554,372
925,22750,267024,554,735
942,17998,576133,178,735
987,19498,794582,178,735
989,17998,214962,550,735
994,11798,777902,178,372
1001,15990,799585,550,372
1002,17000,580720,178,372
1006,15998,794582,178,735
1009,12498,796713,178,372
1014,10995,782406,178,372
1016,11495,782406,178,372
1025,27591,783333,550,735
1032,27444,795928,554,735
1039,34251,783333,550,372
1040,31990,832989,550,372
1043,12495,782406,178,372
1046,27795,783909,554,735
1055,23756,439777,550,735
1068,17698,267024,178,735
1069,20498,328266,178,735
1071,45251,439130,550,735
1077,56996,252800,554,735
1081,18946,576133,550,735
1085,24496,439777,550,372
1087,21498,267024,550,735
1088,15998,794582,550,735
1092,12498,770479,550,735
1094,14498,796713,178,372
1096,34991,153296,550,372
1112,35991,153296,550,372
1122,15698,614810,178,735
1123,19991,439777,178,372
1126,31496,184668,554,735
1129,33888,533676,554,372
1130,23756,439777,178,372
1131,32500,533676,550,735
1133,32500,533676,554,372
1135,46888,795928,554,735
1152,14491,144686,178,372
1165,15896,790461,178,372
1176,56991,614813,550,372
1177,20444,904615,178,372
1178,20444,904615,178,372
1179,27990,533676,178,735
1184,27881,153296,550,372
1187,52496,439130,554,735
1191,25419,529773,554,372
1195,19996,904615,554,372
1197,34596,184668,550,735
1201,29996,184668,550,735
1216,17998,576133,178,372
1224,16498,796713,178,372
1225,20998,801404,550,372
1227,13998,794582,178,735
1233,24998,607656,550,372
1234,18998,470632,178,735
1237,15998,576133,178,735
1241,13498,709516,178,735
1242,18698,795928,550,372
1244,11498,709516,178,735
1246,16498,267024,550,735
1253,11995,437390,178,372
1254,17398,794582,554,735
1255,26498,529773,550,372
1258,8998,340623,178,372
1265,18498,786840,178,372
1268,14498,370344,178,372
1277,22798,758906,550,735
1281,17998,831788,550,372
1284,15798,794582,178,372
1288,12551,701025,178,735
1293,14053,580720,178,372
1298,25498,328266,550,372
1303,18351,458408,178,372
1306,15995,267024,178,735
1309,13498,758906,178,735
1315,18998,758906,178,735
1318,12798,782406,178,372
1321,22998,439777,550,735
1323,12995,709516,550,735
1335,18990,439777,178,372
1341,23995,786840,550,735
1342,14995,795061,178,735
1350,19498,576133,178,735
1354,25850,851825,554,735
1358,18498,758906,178,735
1359,13298,457003,178,735
1363,26995,282422,554,372
1365,27888,533676,178,735
1370,19990,904615,554,372
1371,20999,175267,554,372
1375,19990,904615,554,372
1377,18850,729811,550,735
1389,36990,598290,550,372
1394,12298,782406,178,372
1402,16435,796713,178,735
1411,15698,801404,550,735
1417,11385,457003,178,735
1427,15498,786840,178,372
1430,14798,795061,178,735
1431,11998,777902,178,372
1439,15480,576133,178,735
1450,14898,795061,178,735
1451,14498,576133,550,372
1458,17498,576133,550,372
1460,20498,652162,178,735
1466,19998,439777,178,735
1468,26995,198650,550,735
1469,19440,632243,550,735
1470,22995,652162,550,735
1485,18498,214962,550,372
1486,17498,758906,550,735
1487,19498,632243,178,735
1488,18698,458408,550,735
1492,35498,184668,550,372
1500,18450,576133,178,372
1505,12298,782406,178,372
1506,17998,709516,550,735
1508,17698,786840,178,372
1509,15998,576133,178,735
1510,13290,796713,178,372
1511,20444,439777,178,735
1514,25444,439777,178,735
1515,21644,904615,178,372
1519,9578,782406,178,735
1523,17498,770479,178,735
1524,19998,632243,178,735
1528,10917,709516,178,735
1530,28991,607656,550,372
1531,23650,385865,550,372
1535,15990,576133,178,735
1537,13990,794582,178,372
1540,22444,439777,178,735
1549,17990,470632,178,735
1556,17990,729811,178,372
1558,21790,458408,550,372
1562,26888,533676,178,735
1579,11498,834264,178,735
1584,54490,439130,554,735
1585,20990,794582,550,372
1586,44999,605992,554,735
1588,16990,576133,550,735
1593,15888,777902,178,372
1597,19998,758906,550,735
1605,16289,580720,178,372
1606,22689,214962,550,372
1608,23489,198650,550,372
1610,44999,605992,554,735
1628,19990,385865,178,735
1646,129000,178225,550,372
1654,20495,470632,178,735
1655,17990,214962,550,372
1662,24998,795928,550,372
1669,19698,652162,178,735
1672,19798,888070,550,735
1673,23790,328266,550,372
1683,18990,370344,554,372
1685,20890,839749,550,372
1688,11250,777902,178,372
1698,34998,184668,550,372
1702,16450,758906,550,735
1708,13395,214962,178,372
1713,14998,712961,178,735
1719,19298,370344,178,372
1722,11298,782406,178,372
1726,12495,701025,178,735
1731,19298,267024,178,735
1733,13998,795061,550,735
1737,13498,795061,178,735
1739,8698,796713,178,735
1740,15798,801404,550,735
1754,20798,370344,550,372
1770,9995,782406,178,372
1776,15495,214962,178,735
1778,16750,795061,550,735
1785,42500,391663,550,372
1786,43500,439130,550,735
1787,21450,839749,178,735
1793,25990,783333,178,372
1806,17400,576133,178,735
1807,17800,470632,178,372
1809,13250,796713,178,735
1810,20250,888070,550,735
1817,19490,839749,178,372
1821,11995,214962,178,735
1826,10395,782406,178,735
1829,15845,576133,178,372
1830,22995,632243,550,735
1835,23995,153296,178,735
1837,20995,198650,554,735
1844,29250,783909,554,735
1845,15990,587496,178,735
1849,12995,701025,550,735
1863,13250,144686,178,372
1865,22000,839749,554,735
1875,28995,175267,550,372
1877,15750,801404,554,372
1884,16450,712961,550,372
1887,22495,385865,550,372
1894,12995,782406,178,372
1900,11390,457003,550,735
1906,13495,799585,550,372
1907,11895,214962,178,372
1908,17995,470632,550,372
1910,15250,370344,178,735
1920,9500,777902,178,372
1924,49990,439130,550,735
1932,16990,470632,178,372
1935,21583,470632,550,372
1936,21490,839749,550,372
1938,10716,777902,178,735
1948,22950,712961,178,735
1950,17950,796713,178,735
1956,16950,796713,178,735
1959,15995,214962,178,372
1960,11895,214962,178,372
1966,26990,783333,550,372
1979,47490,579503,550,735
1981,47992,107042,550,372
1982,13990,795061,550,372
1989,17870,796713,550,735
1990,24477,385865,550,372
1992,18243,758906,550,735
1995,29490,839749,550,372
1996,16298,796713,550,735
2005,11698,782406,178,372
2007,30998,184668,550,372
2013,11201,144686,178,372
2015,17985,214962,178,372
2022,21990,439777,550,735
2023,19690,458408,178,372
2025,27490,783333,550,372
2039,19498,795061,550,735
2041,16998,758906,550,735
2044,13180,782406,178,735
2047,15700,370344,178,372
2052,34998,184668,550,372
2058,16498,267024,178,735
2062,16380,370344,178,735
2076,17950,267024,550,735
2078,10000,796713,178,735
2081,8000,777902,178,735
2083,8000,457003,178,735
2092,14995,144686,178,372
2095,20150,328266,550,735
2096,14730,777902,178,372
2098,19999,647645,550,735
2100,13500,777902,550,372
2108,16250,712961,178,372
2115,13491,709516,550,735
2117,11495,437390,550,372
2124,14791,794582,550,735
2136,15498,580720,178,372
2141,21995,153296,178,735
2142,43995,576898,550,735
2147,20560,796713,550,372
2165,21995,385865,550,735
2169,12400,777902,178,735
2170,17900,652162,178,735
2171,22295,632243,550,735
2173,32995,832989,550,735
2175,14995,144686,550,372
2179,19995,729811,178,372
2185,13495,834264,178,735
2187,16750,758906,178,735
2188,15141,214962,178,372
2189,15547,418966,178,372
2192,43995,783909,554,735
2196,21499,175267,178,372
2200,21990,796713,550,372
2210,32995,576898,550,372
2216,12695,834264,550,735
2230,26695,795928,550,735
2232,25995,529773,550,372
2233,25495,439777,178,372
2246,17495,796713,178,372
2247,26995,370344,550,372
2253,33995,892945,550,372
2263,26995,439777,178,372
2283,15995,457003,178,735
2293,19995,458408,178,372
2295,24995,529773,178,372
2299,13700,370344,550,735
2302,17995,795061,178,735
2303,18299,267024,554,735
2308,15465,580720,178,735
2309,21965,652162,550,735
2312,19870,647645,554,735
2322,26495,795928,550,735
2326,21500,385865,178,372
2329,29500,632243,550,735
2342,37980,892945,550,372
2350,15690,580720,178,372
2351,17990,831788,178,372
2354,45000,576898,550,735
2358,21290,888070,550,735
2362,44880,159767,550,735
2367,19300,839749,178,735
2368,28000,533676,178,735
2377,24690,632243,550,735
2378,19890,267024,550,735
2389,12965,795061,178,735
2390,18990,576133,550,735
2391,22480,439777,550,735
2392,25950,783333,178,372
2394,49865,458312,550,735
2402,13992,796713,550,735
2406,14257,796713,178,372
2410,15770,701025,554,735
2426,30990,439777,550,372
2427,20990,439777,178,372
2441,10800,355959,550,372
2443,9992,614810,178,735
2448,27991,533676,550,735
2454,17597,267024,554,735
2455,19340,175267,554,372
2458,16320,370344,178,735
2464,30990,851825,550,372
2468,17130,794582,178,735
2472,16990,801404,550,735
2473,17321,794582,178,735
2475,22795,839749,554,735
2481,31995,839749,550,372
2485,12991,782406,178,372
2486,34000,159767,550,735
2488,17544,712961,550,372
2499,22000,632243,550,735
2502,8874,777902,178,372
2509,17498,796713,550,372
2511,15698,576133,178,735
2519,18695,470632,550,372
2520,17595,652162,178,735
2522,20950,786840,550,372
2527,13495,777902,178,372
2536,9415,777902,178,735
2540,22495,370344,550,372
2541,21995,470632,550,735
2556,28995,795928,550,372
2564,21800,888070,550,735
2569,21995,795061,550,735
2572,19995,214962,550,735
2574,10120,777902,178,372
2577,14590,770479,554,735
2587,17495,770479,550,735
2589,8950,340623,178,372
2591,10262,796713,178,735
2593,15649,795061,178,735
2595,14998,799585,178,372
2613,21250,470632,178,372
2615,10498,214962,178,735
2621,21990,370344,550,372
2627,22498,283965,550,735
2634,17650,214962,178,735
2639,23300,839749,550,372
2645,36995,458312,550,735
2650,13219,782406,178,372
2651,8995,834264,178,735
2652,14298,795061,550,735
2657,11290,437390,178,372
2671,18181,770479,550,735
2672,20520,328266,554,735
2675,23992,632243,550,735
2683,31962,391663,550,372
2685,16732,729811,178,372
2689,12498,777902,178,372
2690,13498,437390,178,372
2692,31266,184668,550,735
2701,33415,184668,550,735
2706,18998,214962,178,372
2713,44990,783909,550,735
2719,18082,888070,550,735
2722,27690,832989,178,735
2725,52422,808711,550,372
2728,34026,184668,550,735
2732,45890,792958,550,735
2735,35422,892945,554,372
2737,25510,529773,554,735
2742,17690,580720,178,372
2758,14242,795061,178,372
2763,23890,888070,550,735
2764,31490,439777,550,372
2809,25490,439777,550,735
2819,12260,144686,178,372
2822,16798,576133,178,735
2827,15498,457003,178,372
2828,18998,470632,550,372
2833,13699,782406,178,372
2838,17649,470632,178,735
2843,46500,439130,550,735
2845,19998,470632,178,372
2848,14298,796713,178,372
2851,18120,782406,178,372
2853,17495,795061,554,735
2855,11995,777902,178,735
2865,18295,370344,178,735
2870,24436,795928,178,372
2877,17650,579333,550,735
2882,14500,770479,550,735
2893,17250,652162,550,735
2895,17250,267024,550,735
2906,22971,892945,178,735
2914,18962,418966,550,735
2925,17012,370344,178,735
2932,18202,576133,178,372
2934,21241,580720,550,372
2938,18995,888070,550,735
2942,24000,892945,550,735
2943,41606,384480,554,735
2944,24260,529773,550,372
2954,11771,144686,178,372
2955,29490,880015,550,735
2957,32990,880015,550,735
2958,24990,478293,550,372
2967,9995,105621,550,735
2969,10582,437390,178,735
2987,22476,904615,550,372
2988,24695,839749,550,735
2991,13942,777902,178,372
2998,18771,729811,178,372
3004,14481,799585,178,372
3007,32956,184668,554,735
3010,43475,439130,554,735
3014,18772,370344,178,372
3016,30777,153296,550,372
3021,13432,782406,178,372
3025,28062,892945,550,735
3027,22495,214962,178,372
3045,10991,340623,550,372
3049,18937,214962,178,372
3051,16990,458408,178,372
3068,13491,144686,550,372
3069,16991,175267,550,372
3073,16670,796713,550,735
3084,46426,439130,554,735
3086,31072,607656,550,372
3089,31072,159767,550,735
3095,19082,214962,178,735
3099,10595,340623,550,372
3100,17595,652162,178,735
3111,11602,782406,178,372
3116,16362,470632,178,372
3122,21726,439777,178,735
3125,33630,184668,554,372
3126,43244,439130,554,735
3132,10691,782406,178,372
3135,16495,580720,178,735
3137,30981,892945,550,372
3146,32481,576898,550,372
3148,11392,782406,178,372
3168,37682,458312,550,735
3174,15395,214962,178,372
3177,31516,533676,554,372
3178,31156,783909,550,735
3185,21902,439777,550,735
3188,40892,391663,550,372
3191,18495,729811,178,372
3193,18000,796713,550,372
3206,14000,214962,178,372
3210,9995,782406,178,735
3211,20875,888070,550,735
3215,10020,782406,178,735
3217,18998,370344,550,372
3218,16998,831788,178,735
3224,18499,786840,178,372
3237,39999,605992,554,735
3241,21483,796713,550,372
3244,15998,470632,178,372
3246,17190,370344,178,735
3251,11995,782406,178,372
3260,17505,786840,178,372
3262,20505,729811,178,372
3263,9755,337655,178,735
3266,21602,214962,550,372
3274,13999,214962,178,372
3277,24662,839749,550,735
3284,35505,533676,550,372
3285,19655,888070,550,735
3290,20001,385865,178,372
3302,22792,839749,178,735
3303,26022,533676,178,372
3320,29000,529773,554,735
3330,24750,439777,178,735
3333,25005,439777,178,372
3335,30755,439777,550,372
3339,29500,529773,554,372
3354,31000,282422,554,372
3362,39500,103873,554,735
3368,23000,851825,178,735
3373,11495,457003,178,735
3377,35000,783909,554,735
3378,30990,832989,550,735
3380,26875,533676,550,735
3387,33500,391663,554,735
3390,41750,723848,550,372
3393,15380,796713,554,735
3394,23490,175267,554,735
3396,19701,729811,550,372
3399,19401,370344,550,735
3404,17495,214962,178,372
3419,28500,282422,550,372
3428,30991,783909,554,735
3430,12992,795061,178,372
3433,25491,439777,550,372
3435,14998,437390,550,735
3439,21991,786840,178,372
3443,16998,370344,178,372
3445,13498,799585,178,372
3450,19991,439777,178,735
3452,46992,439130,550,735
3454,13995,735828,550,735
3461,10420,777902,178,372
3470,18991,458408,550,735
3475,19691,470632,550,735
3478,16992,799585,178,372
3486,38991,184668,554,372
3489,44991,184668,550,478
3493,38691,184668,554,735
3498,21991,904615,550,372
3501,17991,470632,550,372
3509,14991,370344,178,372
3510,37991,892945,550,372
3511,29491,880015,550,735
3524,22991,795928,178,372
3533,18495,175267,178,372
3539,24491,795928,554,372
3550,23998,888070,550,735
3555,9800,796713,178,735
3556,11750,782406,178,372
3559,16000,267024,178,735
3568,11799,777902,178,372
3576,22800,888070,554,735
3579,11500,782406,178,372
3590,10100,709516,550,735
3594,12291,144686,178,372
3597,20000,470632,178,372
3600,17397,758906,178,735
3613,13991,576133,178,735
3614,9991,105621,178,735
3626,20000,652162,550,735
3633,11497,709516,554,735
3643,28991,198650,554,735
3649,12998,144686,178,372
3660,40000,783333,550,372
3667,19000,796713,550,372
3677,14500,735828,178,735
3679,24000,839749,550,372
3680,9782,340623,178,372
3688,35500,831788,550,372
3689,46000,458312,550,478
3691,35000,534721,550,372
3694,11490,144686,178,372
3696,10499,777902,178,372
3698,19560,729811,178,372
3700,17450,370344,178,735
3706,18990,175267,178,372
3708,20000,632243,550,735
3713,14999,175267,178,735
3714,14220,576133,178,735
3715,15290,214962,178,735
3721,27500,198650,550,735
3726,14750,144686,550,372
3731,21000,839749,178,372
3735,47750,715324,554,735
3748,18000,839749,178,735
3750,15995,370344,178,372
3751,22000,762151,554,735
3765,18400,214962,178,372
3767,26950,795928,554,735
3772,27000,439777,554,735
3774,20597,831788,550,372
3781,21500,652162,550,735
3785,30000,783909,554,735
3788,35000,458312,550,735
3792,36000,458312,550,372
3797,30850,880015,550,735
3798,19498,470632,550,735
3799,15698,794582,550,372
3800,19000,839749,178,735
3801,19500,904615,178,372
3806,21000,839749,178,735
3814,24250,153296,178,735
3815,34000,832989,550,372
3816,34000,832989,550,372
3821,14691,794582,550,735
3823,13291,794582,178,735
3824,13350,355959,550,372
3830,23497,470632,554,372
3831,24000,839749,550,735
3835,23500,385865,550,372
3838,22850,758906,550,735
3844,11750,777902,178,372
3850,24000,478293,550,372
3856,18989,729811,178,372
3860,15492,796713,178,372
3862,32000,795928,554,735
3865,30500,783909,554,735
3875,24000,198650,550,735
3878,18990,458408,550,372
3886,12990,105621,178,372
3888,15000,576133,178,735
3889,23499,795928,178,372
3892,21000,904615,550,372
3896,15490,144686,550,372
3908,19990,729811,554,735
3912,20990,328266,178,735
3917,15490,758906,550,735
3931,28490,795928,550,735
3934,16999,795061,550,735
3935,13999,795061,178,735
3937,32990,533676,554,372
3940,39990,184668,550,372
3955,23000,839749,550,372
3962,33490,533676,550,372
3964,31990,529773,554,372
3968,36990,184668,550,372
3969,21990,839749,554,372
3970,26990,529773,550,372
3972,22490,576133,554,372
3981,22990,328266,554,735
3987,17520,831788,178,372
3988,7690,437390,178,735
3990,16840,470632,178,372
3994,21499,470632,550,372
4027,26490,892945,550,735
4029,22990,729811,550,372
4044,32990,529773,554,735
4045,31490,184668,554,735
4053,9495,728989,178,735
4065,19990,214962,550,735
4067,44990,439130,554,735
4078,32850,576898,550,372
4085,20900,370344,178,735
4087,20000,632243,550,735
4089,26990,533676,178,735
4090,38990,533676,554,372
4091,25342,439777,178,372
4097,20500,439777,178,735
4104,34990,533676,550,372
4107,34000,529773,554,735
4111,55000,439130,554,735
4115,29990,533676,178,735
4117,23165,904615,550,372
4126,34750,832989,550,372
4132,11210,777902,178,372
4143,36996,414990,550,372
4159,17000,214962,178,735
4165,39990,892945,550,372
4169,24990,533676,178,372
4170,33490,184668,554,735
4172,28000,795928,554,372
4175,16750,457003,550,372
4176,19000,470632,178,372
4177,24000,758906,550,735
4183,23000,439777,554,735
4201,28000,533676,178,735
4206,28750,529773,554,372
4212,10398,340623,178,372
4218,49000,458312,554,735
4222,37500,762151,550,372
4223,18500,839749,554,735
4226,28450,529773,550,735
4227,23450,762151,550,735
4238,27950,770479,550,372
4240,29950,370344,554,372
4241,15495,770479,178,735
4267,10920,457003,178,735
4269,23995,439777,550,735
4275,19000,729811,550,372
4278,24500,439777,550,372
4289,30995,839749,550,372
4291,55900,579503,550,735
4302,12500,144686,178,372
4315,26995,529773,550,372
4321,26400,652162,554,735
4324,21995,328266,550,735
4326,19995,198650,550,735
4335,47850,107042,550,372
4343,30995,576898,550,372
4344,39995,832989,550,372
4347,29495,282422,550,372
4352,27995,786840,554,372
4360,19990,904615,550,372
4362,36995,103873,550,735
4366,39495,458312,550,372
4368,35495,184668,550,372
4376,13995,796713,178,735
4379,31495,786840,550,372
4380,33495,529773,550,735
4390,29450,795928,554,735
4394,11495,782406,178,372
4395,8495,337655,178,735
4406,26490,783909,550,735
4408,53990,313988,550,372
4417,12995,457003,178,735
4418,26495,795928,550,372
4420,9990,340623,178,735
4424,37990,832989,550,372
4425,13990,457003,178,735
4427,49990,808711,550,372
4440,20999,478293,178,372
4456,35990,533676,554,735
4459,25990,904615,178,372
4461,16990,144686,550,372
4463,37990,184668,550,735
4469,20595,904615,178,372
4480,32990,282422,554,372
4482,27790,439777,554,735
4488,36990,783909,554,735
4492,21811,904615,550,372
4494,54490,313988,550,372
4498,20990,458408,550,372
4501,31990,529773,178,372
4503,36490,184668,554,735
4504,31490,184668,554,735
4509,26990,282422,178,372
4515,31750,282422,554,372
4522,20595,904615,178,372
4524,14400,144686,178,372
4526,22750,439777,178,735
4529,28490,783909,554,735
4538,17400,796713,178,372
4546,33990,839749,554,372
4552,27000,533676,178,372
4553,16000,576133,178,735
4554,12000,782406,178,372
4555,13000,144686,550,372
4556,25250,478293,550,372
4561,25250,795928,554,735
4562,30878,282422,554,372
4563,55990,439130,554,735
4564,28490,282422,554,372
4570,59750,214020,554,735
4578,13491,735828,178,735
4585,22991,632243,550,735
4589,19686,328266,554,735
4593,24991,385865,550,372
4598,26891,175267,550,372
4602,17900,839749,178,735
4607,27500,529773,550,735
4610,14850,735828,178,372
4626,37000,580720,550,372
4631,28360,783909,550,735
4633,17420,839749,178,372
4634,20052,729811,550,372
4639,34990,576898,550,372
4644,43880,795928,554,735
4651,21990,632243,550,735
4659,16596,576133,178,372
4675,27990,282422,550,372
4688,22910,839749,554,372
4689,37844,184668,550,372
4697,9991,337655,550,372
4704,23562,758906,550,735
4711,33990,632243,550,735
4722,59990,214020,550,735
4731,18182,729811,178,372
4732,21540,439777,550,735
4742,117990,178225,554,372
4747,36990,458312,550,735
4761,23845,478293,550,372
4763,34490,184668,554,735
4765,31990,529773,554,735
4767,29975,282422,554,372
4778,42990,715324,550,735
4780,24990,839749,178,372
4781,21990,175267,178,372
4792,29975,184668,554,735
4803,24990,533676,178,372
4804,27990,783909,554,735
4816,28990,533676,550,735
4832,29995,439777,550,372
4834,21990,839749,178,372
4835,17990,796713,550,372
4845,39990,533676,550,372
4846,31990,533676,554,372
4847,32490,184668,554,735
4849,26490,851825,550,372
4854,21990,370344,554,735
4857,48000,783909,550,735
4867,26275,529773,554,372
4868,23490,839749,550,372
4869,23450,839749,550,372
4886,17000,758906,550,735
4888,13500,214962,178,372
4889,25000,418966,550,735
4892,21000,576133,550,372
4893,36000,832989,550,372
4902,55990,562812,554,372
4906,37000,832989,550,735
4909,28500,529773,178,372
4915,26500,892945,550,735
4917,19000,267024,178,735
4921,30000,439777,550,372
4935,53500,534721,550,372
4941,70990,605992,554,735
4950,35000,184668,550,735
4962,19000,370344,550,372
4965,23990,652162,554,735
4968,25990,783909,550,735
4974,33990,892945,550,735
4978,20450,370344,550,372
4981,8609,337655,178,372
4990,22000,839749,550,372
4998,28990,529773,554,735
5001,33490,184668,554,735
5005,23286,904615,550,372
5007,25990,533676,178,735
5011,24990,533676,178,372
5016,30990,159767,550,735
5017,20990,801404,550,735
5027,17450,214962,178,372
5038,23845,478293,550,372
5046,32990,529773,554,735
5054,54850,519510,550,372
5057,22990,839749,550,735
5061,21490,385865,178,372
5062,51490,252800,550,735
5065,43990,832989,550,372
5070,19990,758906,550,735
5079,12490,144686,178,735
5084,19490,214962,550,372
5086,23490,839749,554,372
5087,31990,529773,554,735
5089,62990,214020,550,735
5102,26011,478293,550,372
5105,18990,214962,550,372
5113,24990,328266,554,372
5117,27490,795928,554,735
5119,38990,184668,550,372
5132,26089,783333,550,372
5136,25490,439777,178,372
5140,89990,214020,550,735
5149,31990,370344,550,372
5151,22967,839749,178,372
5154,24990,533676,178,372
5155,45990,439130,554,735
5156,61490,313988,554,372
5159,47990,903759,550,372
5163,33990,391663,550,372
5164,26139,783333,550,372
5166,21990,175267,550,735
5167,25490,439777,178,372
5170,23490,439777,178,372
5175,24479,439777,178,372
5179,27990,533676,178,372
5182,30990,832989,550,372
5186,11990,144686,178,735
5189,17490,799585,550,372
5200,49990,808711,550,372
5207,24490,786840,554,372
5224,22950,892945,550,735
5239,9671,777902,178,372
5250,34950,529773,550,735
5253,26495,795928,550,735
5254,23450,839749,550,372
5256,38990,103873,550,735
5265,30450,533676,550,372
5266,16800,795061,554,735
5273,23990,439777,178,372
5279,16490,782406,550,372
5280,19995,214962,550,372
5290,45790,579503,554,735
5291,21995,632243,554,735
5296,16450,370344,550,735
5299,14451,214962,178,372
5305,19395,470632,178,735
5310,26990,533676,178,735
5311,35990,184668,554,735
5313,31990,529773,554,372
5314,26990,533676,178,735
5317,21900,439777,178,735
5352,24451,851825,550,372
5353,13841,105621,178,735
5354,16861,729811,178,372
5362,33094,184668,550,735
5369,15662,457003,178,372
5374,15601,214962,178,735
5375,26946,533676,550,372
5382,25380,533676,550,735
5386,21276,839749,550,735
5389,21422,439777,178,735
5402,21500,370344,550,735
5416,33716,184668,554,735
5418,16900,214962,550,735
5425,28900,439777,550,372
5430,13900,796713,178,372
5439,24582,391663,550,372
5441,27942,391663,554,372
5443,31990,832989,550,735
5449,19900,888070,550,735
5450,21500,904615,550,372
5451,24900,214962,550,372
5452,21950,790461,550,735
5459,133900,491645,550,372
5466,34000,839749,550,372
5467,52000,576898,554,735
5474,21500,439777,178,735
5477,34500,576898,550,735
5491,49000,534721,550,372
5492,69000,439130,554,735
5494,24500,839749,550,372
5496,17900,470632,178,372
5497,29000,534721,550,372
5506,35900,184668,550,735
5514,38000,832989,550,372
5517,32500,529773,554,735
5529,26000,533676,178,735
