location_code,country,city
79347,"United Kingdom",Newbiggin
79505,"United States",Champaign
79525,"United States","Saint Louis"
79699,"United Kingdom",Halton
79777,"United Kingdom",Buckland
79790,"United Kingdom",Glasgow
80104,"United States","Boca Raton"
80298,"United States",Frankfort
80425,"United States","Cedar Rapids"
80434,"United States","Shawnee Mission"
80917,"United Kingdom",Birmingham
81054,"United States",Palatine
81802,"United States",Ocala
82289,"United States",Garland
82453,"United States",Merrifield
82525,"United States",Anniston
82604,"United Kingdom",Aston
82970,"United Kingdom",Leeds
83517,"United Kingdom",Brampton
83864,"United States",Oceanside
83956,"United Kingdom",Kirkton
83979,"United States","Punta Gorda"
83986,"United States",Sparks
84088,"United States","Pompano Beach"
84590,"United States",Louisville
84635,"United States",Mesa
84821,"United States",Roanoke
85677,"United Kingdom",Liverpool
85684,"United States",Hyattsville
85860,"United States",Austin
86082,"United Kingdom",Pentre
86224,"United States",Atlanta
86277,"United States","San Antonio"
86310,"United States",Hartford
86338,"United Kingdom",Aberdeen
86516,"United States",Cheyenne
86632,"United States",Tulsa
86892,"United States","San Bernardino"
87001,"United States","Fort Pierce"
87511,"United States","Johnson City"
87857,"United Kingdom",Walton
87974,"United Kingdom",Milton
88142,"United States","West Hartford"
88457,"United States",Jackson
88735,"United States","Des Moines"
89134,Australia,"Adelaide Mail Centre"
89187,"United States","Port Saint Lucie"
89378,"United States",Torrance
89545,"United Kingdom","Church End"
89547,"United States",Annapolis
89596,"United States",Topeka
89630,"United States",Hagerstown
89748,"United States","Staten Island"
90522,"United States",Conroe
90581,"United States",Springfield
90585,"United States","Winston Salem"
90652,"United Kingdom",Thorpe
90779,"United States",Macon
90867,"United States","San Francisco"
90870,"United States",Portland
90894,"United States",Wilmington
91067,"United States",Tampa
91283,"United States",Gainesville
91430,"United States",Orlando
91491,"United States",Durham
91612,"United States","Pinellas Park"
91914,"United Kingdom",Dean
92132,"United States",Seattle
92170,"United States",Sacramento
95434,"United States",Canton
98452,"United States",Fresno
