id,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,price_range,number_of_reviews,number_of_reviews_range,minimum_nights,reviews_per_month
8025,22486,Lisel,Brooklyn,"Park Slope","Private room",80,51-100,39,0-50,1,0.37
8110,22486,Lisel,Brooklyn,"Park Slope","Private room",110,101-150,71,51-100,2,0.61
8490,25183,Nathalie,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",120,101-150,88,51-100,2,0.73
8505,25326,Gregory,Brooklyn,"Windsor Terrace","Private room",60,51-100,19,0-50,1,1.37
8700,26394,"Claude & Sophie",Manhattan,Inwood,"Private room",80,51-100,0,0-50,4,NULL
9357,30193,Tommi,Manhattan,"Hell's Kitchen","Entire home/apt",150,101-150,58,51-100,10,0.49
9518,31374,Shon,Manhattan,Inwood,"Private room",44,0-50,108,101-150,3,1.11
9657,21904,Dana,Manhattan,"East Village","Entire home/apt",180,151-200,29,0-50,14,0.24
9668,32294,"Ssameer Or Trip",Manhattan,Harlem,"Private room",50,0-50,242,201-250,3,2.04
9704,32045,Teri,Manhattan,Harlem,"Private room",52,51-100,88,51-100,2,1.42
9782,32169,Andrea,Brooklyn,Greenpoint,"Private room",55,51-100,197,151-200,4,1.65
9783,32294,"Ssameer Or Trip",Manhattan,Harlem,"Private room",50,0-50,273,250+,3,2.37
10452,35935,Angela,Brooklyn,Bedford-Stuyvesant,"Private room",70,51-100,74,51-100,1,0.66
10962,9744,Laurie,Brooklyn,"South Slope","Private room",89,51-100,168,151-200,4,1.41
11452,7355,Vt,Brooklyn,Bedford-Stuyvesant,"Private room",35,0-50,0,0-50,60,NULL
11708,44145,Tyrome,Brooklyn,Bushwick,"Entire home/apt",85,51-100,231,201-250,2,1.96
11943,45445,Harriet,Brooklyn,Flatbush,"Private room",150,101-150,0,0-50,1,NULL
12048,7549,Ben,Manhattan,"Lower East Side","Shared room",40,0-50,214,201-250,1,1.81
12192,46978,Edward,Manhattan,"East Village","Private room",68,51-100,245,201-250,2,2.08
12299,47610,Abdul,Brooklyn,"South Slope","Entire home/apt",120,101-150,15,0-50,3,0.39
12303,47618,Yolande,Brooklyn,"Fort Greene","Private room",120,101-150,25,0-50,7,0.23
12318,16800,Cyn,Manhattan,"Upper West Side","Private room",135,101-150,81,51-100,4,0.69
12343,47727,Earl,Manhattan,Harlem,"Entire home/apt",150,101-150,97,51-100,7,0.84
12627,49670,Rana,Brooklyn,"Prospect-Lefferts Gardens","Entire home/apt",150,101-150,11,0-50,29,0.49
12937,50124,Orestes,Queens,"Long Island City","Private room",130,101-150,248,201-250,3,2.25
12940,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",110,101-150,61,51-100,7,0.52
13050,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",115,101-150,11,0-50,3,0.1
13394,52335,Alexander,Brooklyn,"Fort Greene","Private room",80,51-100,135,101-150,3,1.16
13808,54275,"JT And Tiziana",Brooklyn,Bedford-Stuyvesant,"Private room",80,51-100,112,101-150,1,1.01
14287,56094,Joya,Manhattan,"Upper West Side","Entire home/apt",151,151-200,73,51-100,2,0.63
14290,56104,James,Brooklyn,Williamsburg,"Entire home/apt",228,201-250,82,51-100,3,0.7
14314,56246,Jeanne,Brooklyn,Greenpoint,"Entire home/apt",144,101-150,328,250+,2,2.82
14322,56284,Francesca,Manhattan,"Kips Bay","Entire home/apt",200,151-200,19,0-50,7,0.22
14377,56512,Joanna,Brooklyn,Williamsburg,"Entire home/apt",150,101-150,105,101-150,30,0.9
14991,59023,Bianca,Manhattan,"Lower East Side","Private room",110,101-150,19,0-50,5,0.17
15220,59734,Luiz,Manhattan,"Hell's Kitchen","Private room",69,51-100,289,250+,2,2.49
15338,32169,Andrea,Brooklyn,Greenpoint,"Private room",49,0-50,138,101-150,4,1.19
15341,60049,Ted,Manhattan,SoHo,"Entire home/apt",180,151-200,21,0-50,30,0.3
15385,60252,Cristina,Brooklyn,Williamsburg,"Private room",80,51-100,42,0-50,2,0.38
15396,60278,Petra,Manhattan,Chelsea,"Entire home/apt",375,250+,5,0-50,180,0.12
15711,61491,D,Manhattan,"Upper East Side","Entire home/apt",250,201-250,66,51-100,2,0.57
16326,63588,Dimitri,Brooklyn,"Prospect Heights","Entire home/apt",200,151-200,143,101-150,30,1.33
16338,63613,Patricia,Brooklyn,"Clinton Hill","Private room",55,51-100,27,0-50,7,0.23
16421,63924,Mark,Manhattan,"Hell's Kitchen","Private room",52,51-100,191,151-200,30,1.65
16458,64056,Sara,Brooklyn,"Park Slope","Entire home/apt",225,201-250,4,0-50,3,0.16
16580,64442,Reka,Manhattan,"East Village","Private room",80,51-100,338,250+,1,4.72
16595,64522,Daniel,Brooklyn,Williamsburg,"Entire home/apt",275,250+,148,101-150,1,1.4
16821,4396,Casey,Manhattan,"East Village","Private room",99,51-100,106,101-150,1,1.26
16974,65837,Robin,Manhattan,"East Harlem","Entire home/apt",225,201-250,190,151-200,4,1.64
17037,66035,Anna,Manhattan,"East Village","Entire home/apt",230,201-250,49,0-50,9,0.43
17092,66243,Enzo,Manhattan,"Hell's Kitchen","Private room",51,51-100,23,0-50,7,0.43
17693,68428,"Tye And Etienne",Manhattan,"Washington Heights","Private room",65,51-100,49,0-50,2,1.6
17747,68599,George,Brooklyn,"Clinton Hill","Private room",105,101-150,105,101-150,2,0.92
18127,69829,Josh,Manhattan,"East Village","Entire home/apt",190,151-200,21,0-50,5,0.2
18152,69942,Victoria,Manhattan,"Upper East Side","Private room",200,151-200,142,101-150,1,1.5
18198,70091,Justin,Queens,Woodside,"Private room",70,51-100,25,0-50,30,0.22
18590,71512,Blaise,Brooklyn,"Fort Greene","Private room",95,51-100,143,101-150,3,1.28
18728,71876,"DAVID And RICK",Manhattan,Chelsea,"Private room",150,101-150,167,151-200,3,1.65
18764,72014,Lulú,Brooklyn,Williamsburg,"Private room",145,101-150,61,51-100,3,0.54
19159,73051,Sybilla,Manhattan,Harlem,"Entire home/apt",110,101-150,54,51-100,31,0.49
19169,73128,JoLynn,Manhattan,"Lower East Side","Entire home/apt",285,250+,70,51-100,5,0.62
19282,73469,Gaia,Brooklyn,Flatbush,"Entire home/apt",130,101-150,16,0-50,6,0.15
19319,44263,Ana,Manhattan,"Lower East Side","Private room",94,51-100,94,51-100,30,0.84
19601,74303,Maggie,Brooklyn,"Brooklyn Heights","Entire home/apt",800,250+,25,0-50,1,0.24
19812,74857,Starlee,Brooklyn,Williamsburg,"Entire home/apt",105,101-150,61,51-100,3,0.53
20299,62407,Edward,Manhattan,"East Village","Private room",60,51-100,194,151-200,3,1.73
20300,76627,Pas,Manhattan,"East Village","Private room",50,0-50,2,0-50,1,0.05
20611,72014,Lulú,Brooklyn,Williamsburg,"Private room",85,51-100,174,151-200,3,1.54
20724,961342,Augustin,Brooklyn,Bushwick,"Private room",65,51-100,24,0-50,4,0.28
20734,78460,"Sean & Lynette",Brooklyn,"Prospect Heights","Entire home/apt",131,101-150,166,151-200,4,3.4
20755,51038,Erica,Brooklyn,"Clinton Hill","Private room",98,51-100,16,0-50,7,0.2
20853,79070,Tracy,Brooklyn,"Prospect Heights","Entire home/apt",250,201-250,21,0-50,7,0.3
20913,79402,Christiana,Brooklyn,Williamsburg,"Entire home/apt",100,51-100,168,151-200,5,1.57
21293,44145,Tyrome,Brooklyn,Bushwick,"Entire home/apt",105,101-150,118,101-150,3,1.05
21456,42032,Dana,Manhattan,"Upper West Side","Entire home/apt",140,101-150,81,51-100,3,0.71
21644,82685,Elliott,Manhattan,Harlem,"Private room",89,51-100,1,0-50,1,0.11
21794,83257,Olan,Manhattan,Chelsea,"Private room",98,51-100,30,0-50,30,0.27
22911,87773,Shelly,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",125,101-150,139,101-150,7,1.23
22918,32294,"Ssameer Or Trip",Manhattan,Harlem,"Private room",60,51-100,11,0-50,3,0.87
23135,11481,Annette,Brooklyn,"Carroll Gardens","Entire home/apt",175,151-200,233,201-250,2,2.09
23501,63318,Meka,Manhattan,"Washington Heights","Private room",65,51-100,68,51-100,2,0.6
23686,93790,Ann,Manhattan,"West Village","Entire home/apt",500,250+,46,0-50,4,0.55
24143,97219,Seth,Brooklyn,Williamsburg,"Private room",101,101-150,335,250+,3,3.02
24285,97797,Brenda,Brooklyn,"Park Slope","Entire home/apt",220,201-250,88,51-100,30,0.79
25235,87773,Shelly,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",125,101-150,162,151-200,90,1.46
25406,105538,Erik,Brooklyn,Williamsburg,"Entire home/apt",80,51-100,29,0-50,30,0.4
25696,107628,Dena,Manhattan,Harlem,"Private room",100,51-100,170,151-200,2,1.61
26012,109589,Jessica,Brooklyn,Gowanus,"Entire home/apt",200,151-200,19,0-50,30,0.2
26362,59734,Luiz,Manhattan,"Hell's Kitchen","Private room",59,51-100,334,250+,2,3
26520,51038,Erica,Brooklyn,"Clinton Hill","Private room",125,101-150,19,0-50,2,0.2
26559,112793,Sally,Manhattan,"East Village","Entire home/apt",140,101-150,12,0-50,7,0.13
26785,42273,Dani,Brooklyn,"South Slope","Entire home/apt",120,101-150,467,250+,30,4.22
26933,72062,Bruce,Manhattan,"East Village","Entire home/apt",350,250+,7,0-50,2,0.06
26954,115157,Nimo,Manhattan,"Kips Bay","Entire home/apt",199,151-200,38,0-50,5,0.38
26969,115307,Alexandra,Brooklyn,Williamsburg,"Entire home/apt",325,250+,324,250+,3,3.01
27006,115560,Stacy,Manhattan,"Upper West Side","Entire home/apt",235,201-250,27,0-50,6,0.27
27385,72062,Bruce,Manhattan,"East Village","Entire home/apt",225,201-250,115,101-150,1,1.05
27531,118971,Evelyn,Brooklyn,"South Slope","Private room",99,51-100,354,250+,2,3.2
27644,119510,Emma,Manhattan,Harlem,"Entire home/apt",170,151-200,195,151-200,2,2.03
27659,119588,Vero,Brooklyn,"South Slope","Entire home/apt",400,250+,16,0-50,2,0.24
27759,119900,Sylvie,Manhattan,"Upper West Side","Entire home/apt",170,151-200,13,0-50,7,0.12
27883,120223,Jen,Manhattan,"East Village","Entire home/apt",100,51-100,25,0-50,4,0.23
28321,65091,Kay,Brooklyn,"Prospect-Lefferts Gardens","Private room",75,51-100,9,0-50,2,0.08
28396,6197784,Jo,Brooklyn,Williamsburg,"Private room",90,51-100,9,0-50,1,0.08
28907,124352,Lisa,Manhattan,"Upper East Side","Entire home/apt",150,101-150,21,0-50,5,0.19
29012,124797,"Fernando And Lenin",Manhattan,"Washington Heights","Private room",85,51-100,36,0-50,15,0.33
29013,35935,Angela,Brooklyn,Bedford-Stuyvesant,"Private room",70,51-100,63,51-100,3,0.58
29455,126607,Laurine,Manhattan,Harlem,"Entire home/apt",120,101-150,155,151-200,3,1.42
29628,127608,Chris,Brooklyn,"Clinton Hill","Private room",89,51-100,260,250+,3,2.35
29683,125857,Uli,Manhattan,"East Village","Entire home/apt",185,151-200,73,51-100,5,0.66
30031,129352,Sol,Brooklyn,Greenpoint,"Private room",50,0-50,193,151-200,3,1.86
30927,120335,Cs,Manhattan,"Lower East Side","Entire home/apt",105,101-150,32,0-50,3,0.29
31130,117287,Lara,Manhattan,"Hell's Kitchen","Private room",130,101-150,50,0-50,2,0.45
31555,135619,Tom,Manhattan,"West Village","Entire home/apt",115,101-150,26,0-50,29,0.25
31902,137292,Sunder,Brooklyn,Flatlands,"Private room",77,51-100,2,0-50,2,0.02
31994,137814,Waldemar,Brooklyn,"Clinton Hill","Private room",76,51-100,426,250+,2,3.89
32023,137974,Khem,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",125,101-150,227,201-250,3,2.09
32037,116599,Sahr,Brooklyn,"Clinton Hill","Private room",135,101-150,84,51-100,4,0.77
32100,138579,Ali+Scott,Brooklyn,Greenpoint,"Entire home/apt",250,201-250,3,0-50,29,0.03
32289,139612,Elisabeth,Brooklyn,Williamsburg,"Entire home/apt",199,151-200,10,0-50,3,0.1
32331,139874,Sarah,Brooklyn,"Cobble Hill","Entire home/apt",140,101-150,4,0-50,2,0.04
32363,140025,Fredah,Queens,Flushing,"Private room",140,101-150,1,0-50,2,0.01
32965,137974,Khem,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",115,101-150,124,101-150,3,1.72
32969,142833,Katherine,Brooklyn,Williamsburg,"Entire home/apt",160,151-200,11,0-50,3,0.11
33009,143027,Ming,Brooklyn,Williamsburg,"Entire home/apt",195,151-200,240,201-250,4,2.19
33014,143048,Paula,Manhattan,"East Village","Entire home/apt",195,151-200,30,0-50,3,0.28
33223,72014,Lulú,Brooklyn,Williamsburg,"Private room",80,51-100,200,151-200,3,1.86
34760,149929,Obed,Brooklyn,"Fort Greene","Private room",44,0-50,27,0-50,8,1.05
35526,120291,Karen,Manhattan,"West Village","Private room",156,151-200,79,51-100,4,0.74
36121,62165,Michael,Brooklyn,"Prospect Heights","Private room",85,51-100,9,0-50,15,0.09
36133,142684,White,Brooklyn,Williamsburg,"Private room",125,101-150,155,151-200,3,1.61
36442,137432,Paz,Brooklyn,"Prospect Heights","Entire home/apt",115,101-150,4,0-50,15,0.05
36647,157798,Irene,Manhattan,"East Harlem","Private room",69,51-100,34,0-50,2,0.32
36703,158284,Karene,Manhattan,"West Village","Entire home/apt",225,201-250,134,101-150,45,1.24
36934,159370,Viviana,Brooklyn,Williamsburg,"Entire home/apt",125,101-150,27,0-50,6,0.25
38638,92788,Sara,Manhattan,"Upper East Side","Entire home/apt",219,201-250,126,101-150,4,1.16
38663,165789,Sarah,Brooklyn,"Boerum Hill","Entire home/apt",475,250+,23,0-50,3,0.27
39267,168417,Marie,Manhattan,"Upper East Side","Entire home/apt",99,51-100,234,201-250,1,2.6
39282,168525,Gus,Brooklyn,Williamsburg,"Private room",69,51-100,202,201-250,4,1.86
39593,110506,Myung,Queens,Sunnyside,"Private room",79,51-100,28,0-50,30,0.26
39704,170510,Renée,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",135,101-150,309,250+,2,2.86
40039,171851,Henry,Brooklyn,DUMBO,"Private room",250,201-250,14,0-50,3,0.13
40453,174025,Sylvia,Manhattan,"Upper East Side","Entire home/apt",250,201-250,4,0-50,3,0.08
41348,180083,Syl,Brooklyn,Gowanus,"Entire home/apt",250,201-250,80,51-100,2,2.17
41513,181167,Lorenzo,Manhattan,Harlem,"Entire home/apt",80,51-100,2,0-50,3,0.04
42580,137814,Waldemar,Brooklyn,"Clinton Hill","Private room",70,51-100,294,250+,2,3.47
42729,11481,Annette,Brooklyn,"Carroll Gardens","Entire home/apt",165,151-200,150,101-150,2,1.4
42882,185978,Newyorkroomwithaview,"Staten Island","St. George","Private room",70,51-100,166,151-200,2,1.66
43957,177536,Tessa,Brooklyn,Bushwick,"Private room",50,0-50,47,0-50,2,0.94
44096,190409,Waundell,Bronx,Highbridge,"Private room",40,0-50,219,201-250,1,2.04
44161,193360,Young,Brooklyn,Williamsburg,"Entire home/apt",150,101-150,193,151-200,2,1.78
44212,72062,Bruce,Manhattan,"East Village","Private room",125,101-150,84,51-100,1,0.78
44221,193722,Coral,Manhattan,"Financial District","Entire home/apt",196,151-200,114,101-150,3,1.06
44229,181376,Carol,Brooklyn,"Fort Greene","Private room",110,101-150,213,201-250,2,2
44288,193637,Sara,Manhattan,"West Village","Entire home/apt",170,151-200,86,51-100,3,0.8
44506,126607,Laurine,Manhattan,Harlem,"Entire home/apt",165,151-200,80,51-100,3,0.75
45393,201297,Myrna,Manhattan,"West Village","Entire home/apt",150,101-150,38,0-50,26,0.36
45542,202249,Campbell,Manhattan,Harlem,"Entire home/apt",100,51-100,18,0-50,2,1.79
45556,67778,Doug,Brooklyn,"Fort Greene","Private room",65,51-100,206,201-250,2,1.92
45910,204539,Mark,Queens,Ridgewood,"Entire home/apt",350,250+,10,0-50,8,0.11
45936,867225,Rahul,Manhattan,"Morningside Heights","Private room",99,51-100,122,101-150,4,1.18
45940,204724,Miyoung,Brooklyn,Williamsburg,"Entire home/apt",200,151-200,33,0-50,4,0.58
46544,8198,Monica,Brooklyn,"Park Slope","Entire home/apt",150,101-150,52,51-100,5,0.5
46723,209460,Marylyn,Brooklyn,Bedford-Stuyvesant,"Private room",90,51-100,126,101-150,3,1.17
46911,210746,"Kathleen R.",Brooklyn,"Prospect Heights","Private room",120,101-150,51,51-100,3,0.48
47199,212722,Teresa,Manhattan,"Upper East Side","Private room",75,51-100,199,151-200,3,1.85
47362,214148,Robert,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",175,151-200,30,0-50,26,0.29
47370,214287,Alex,Manhattan,Chelsea,"Entire home/apt",125,101-150,3,0-50,3,0.03
47926,218404,Claudia,Manhattan,"Hell's Kitchen","Entire home/apt",275,250+,41,0-50,1,0.38
48719,221873,Shane,Manhattan,"Lower East Side","Entire home/apt",299,250+,109,101-150,2,1.04
50447,9744,Laurie,Brooklyn,"South Slope","Entire home/apt",135,101-150,151,151-200,5,1.43
51438,236421,Jessica,Manhattan,"Upper East Side","Private room",130,101-150,0,0-50,14,NULL
51485,236655,Erina,Manhattan,"Lower East Side","Private room",83,51-100,285,250+,1,2.69
51572,237329,Lee,Manhattan,Chelsea,"Private room",123,101-150,375,250+,1,3.52
51850,27848,Jullett,Queens,Jamaica,"Private room",55,51-100,52,51-100,2,0.49
53137,240360,Marlaine,Manhattan,"Hell's Kitchen","Entire home/apt",195,151-200,10,0-50,5,1.01
53196,247432,Charlotte,Brooklyn,Bedford-Stuyvesant,"Private room",80,51-100,11,0-50,2,0.48
53469,204539,Mark,Queens,"Middle Village","Entire home/apt",98,51-100,33,0-50,30,0.31
53470,204539,Mark,Queens,Ridgewood,"Private room",140,101-150,6,0-50,7,0.06
53477,204539,Mark,Queens,"Middle Village","Entire home/apt",265,250+,38,0-50,7,0.38
54158,10889,Bob,Brooklyn,Williamsburg,"Entire home/apt",249,201-250,358,250+,2,3.44
54453,255583,Anka,Manhattan,"Hell's Kitchen","Shared room",105,101-150,10,0-50,6,0.09
54466,253385,Douglas,Manhattan,Harlem,"Private room",200,151-200,0,0-50,30,NULL
54508,210746,"Kathleen R.",Brooklyn,"Prospect Heights","Private room",100,51-100,226,201-250,2,2.12
54544,256161,Wayne,Manhattan,Harlem,"Entire home/apt",121,101-150,104,101-150,1,1
54626,190409,Waundell,Bronx,Highbridge,"Private room",45,0-50,138,101-150,1,1.45
54860,258164,Jenny,Manhattan,"East Harlem","Private room",100,51-100,204,201-250,5,1.92
55467,260709,Paul,Brooklyn,Williamsburg,"Entire home/apt",140,101-150,253,250+,2,3.04
55498,262138,Tami,Brooklyn,Bedford-Stuyvesant,"Private room",71,51-100,23,0-50,2,0.22
55668,88209,Jason,Manhattan,NoHo,"Private room",130,101-150,115,101-150,2,1.17
55737,263414,Pete,Manhattan,"West Village","Entire home/apt",199,151-200,129,101-150,5,1.22
55959,168525,Gus,Brooklyn,Williamsburg,"Private room",69,51-100,82,51-100,4,1.13
55982,264928,Sally,Brooklyn,"Fort Greene","Private room",68,51-100,37,0-50,3,0.35
56467,267593,Leonardo,Manhattan,"East Village","Entire home/apt",130,101-150,204,201-250,1,2.04
56525,268014,Alex,Brooklyn,Greenpoint,"Entire home/apt",195,151-200,69,51-100,2,0.65
56859,256161,Wayne,Manhattan,Harlem,"Private room",64,51-100,192,151-200,1,1.84
57166,272006,Vasili,Queens,"Ditmars Steinway","Entire home/apt",140,101-150,17,0-50,2,0.16
57297,199392,S.M.,Brooklyn,"Cobble Hill","Entire home/apt",159,151-200,222,201-250,2,2.12
57468,239208,Ori,Manhattan,"East Village","Entire home/apt",189,151-200,205,201-250,3,1.96
57618,274557,Ana,Manhattan,"Hell's Kitchen","Entire home/apt",250,201-250,94,51-100,3,0.96
57740,275459,I,Manhattan,"East Village","Entire home/apt",239,201-250,7,0-50,3,0.07
57754,275578,R,Manhattan,"Flatiron District","Entire home/apt",305,250+,108,101-150,2,1.09
57874,276291,Simon,Manhattan,Harlem,"Entire home/apt",155,151-200,222,201-250,3,2.1
58059,277379,Agnes,Manhattan,Harlem,"Private room",60,51-100,458,250+,1,4.58
58062,277394,Linda,Brooklyn,"Windsor Terrace","Private room",135,101-150,21,0-50,2,0.26
58467,279797,Dave,Manhattan,"Roosevelt Island","Private room",120,101-150,17,0-50,7,0.3
59014,282927,Drica,Manhattan,"Lower East Side","Entire home/apt",150,101-150,41,0-50,3,0.39
59121,204539,Mark,Queens,Ridgewood,"Entire home/apt",140,101-150,1,0-50,14,0.01
59642,274782,Betty,Brooklyn,Greenpoint,"Entire home/apt",135,101-150,69,51-100,2,0.67
59709,186084,"Ricardo & Ashlie",Manhattan,Chinatown,"Entire home/apt",250,201-250,18,0-50,4,0.18
59855,288031,Leslie,Manhattan,Midtown,"Entire home/apt",250,201-250,82,51-100,30,0.78
60164,289653,Harrison,Manhattan,SoHo,"Entire home/apt",500,250+,94,51-100,4,0.99
60457,99212,Jessica,Manhattan,"Greenwich Village","Entire home/apt",225,201-250,10,0-50,5,0.1
60611,292204,Blanca,Manhattan,"East Harlem","Entire home/apt",125,101-150,183,151-200,28,1.83
60666,256161,Wayne,Manhattan,Harlem,"Private room",92,51-100,189,151-200,1,1.82
60673,249372,Cynthia,Manhattan,Harlem,"Private room",175,151-200,1,0-50,2,0.11
60680,292630,Mich,Manhattan,"East Village","Entire home/apt",99,51-100,127,101-150,2,1.22
60794,293394,Rachel,Manhattan,"Upper West Side","Entire home/apt",195,151-200,4,0-50,4,0.04
60948,126607,Laurine,Manhattan,"East Harlem","Entire home/apt",140,101-150,135,101-150,3,1.3
61167,295760,Greta,Manhattan,"Little Italy","Entire home/apt",135,101-150,21,0-50,2,0.2
61224,291112,Frank,Manhattan,Chelsea,"Entire home/apt",500,250+,35,0-50,2,0.34
61406,297176,Bethania,Manhattan,Harlem,"Private room",80,51-100,10,0-50,14,2.21
61492,297769,Tunji,Manhattan,Chinatown,"Private room",120,101-150,171,151-200,4,1.8
61509,23619,Anna/Fonzy,Manhattan,Midtown,"Entire home/apt",110,101-150,92,51-100,200,0.9
62095,281764,Colette&Sean,Brooklyn,"East Flatbush","Entire home/apt",65,51-100,238,201-250,3,2.3
62427,303882,Brie,Manhattan,"East Village","Entire home/apt",130,101-150,56,51-100,50,0.58
62430,197755,Sheila,Brooklyn,Bushwick,"Entire home/apt",99,51-100,111,101-150,3,2.13
62452,303939,Lissette,"Staten Island",Tompkinsville,"Private room",36,0-50,193,151-200,2,1.85
62461,303939,Lissette,"Staten Island",Tompkinsville,"Private room",37,0-50,147,101-150,2,1.44
62787,303939,Lissette,"Staten Island",Tompkinsville,"Private room",37,0-50,177,151-200,2,1.71
62891,306545,Olivia,Manhattan,"East Village","Entire home/apt",175,151-200,185,151-200,3,1.78
62903,306605,Daniel,Manhattan,Chelsea,"Entire home/apt",205,201-250,62,51-100,9,0.7
62925,306739,Maya,Brooklyn,Greenpoint,"Entire home/apt",285,250+,124,101-150,3,1.22
63299,308875,Scott,Brooklyn,Williamsburg,"Private room",59,51-100,181,151-200,2,1.77
63320,303939,Lissette,"Staten Island",Tompkinsville,"Private room",36,0-50,333,250+,2,3.19
63360,307962,"Dennis & Naoko",Queens,Astoria,"Entire home/apt",99,51-100,441,250+,5,4.5
63546,308652,Antonín,Brooklyn,Kensington,"Private room",39,0-50,45,0-50,1,0.46
63573,310458,Emily,Brooklyn,"Park Slope","Private room",60,51-100,9,0-50,14,0.09
63588,295128,"Carol Gloria",Bronx,"Clason Point","Private room",90,51-100,0,0-50,2,NULL
63610,310670,Vie,Bronx,Eastchester,"Entire home/apt",105,101-150,38,0-50,2,0.5
63657,170510,Renée,Brooklyn,Bedford-Stuyvesant,"Entire home/apt",135,101-150,248,201-250,2,2.39
63693,306545,Olivia,Manhattan,"East Village","Entire home/apt",390,250+,143,101-150,5,1.38
63719,311286,Helene,Brooklyn,Bedford-Stuyvesant,"Private room",70,51-100,36,0-50,3,0.41
63913,312288,Paula,Manhattan,Inwood,"Private room",75,51-100,0,0-50,7,NULL
64000,312722,"Kristian & Di",Brooklyn,Williamsburg,"Private room",60,51-100,14,0-50,17,0.14
64015,146944,David,Manhattan,"East Village","Entire home/apt",200,151-200,0,0-50,3,NULL
64107,313317,Niya,Brooklyn,"Crown Heights","Private room",100,51-100,279,250+,3,2.69
64277,311286,Helene,Brooklyn,Bedford-Stuyvesant,"Private room",70,51-100,18,0-50,4,0.22
64314,314256,Debbie,Brooklyn,"Crown Heights","Private room",110,101-150,50,0-50,6,3.55
64365,314582,Anthony,Brooklyn,"Crown Heights","Private room",60,51-100,227,201-250,2,2.27
64707,7310,Tilly,Manhattan,"Little Italy","Entire home/apt",90,51-100,1,0-50,14,0.16
64837,46978,Edward,Manhattan,"East Village","Private room",68,51-100,203,201-250,2,1.96
65019,317809,Claire,Manhattan,"Upper West Side","Entire home/apt",115,101-150,210,201-250,2,2.1
65268,319092,Juhli,Brooklyn,Bedford-Stuyvesant,"Private room",75,51-100,64,51-100,5,0.67
65556,320422,Marlon,Brooklyn,Williamsburg,"Private room",60,51-100,0,0-50,3,NULL
65562,320450,"Mary D",Manhattan,"East Village","Entire home/apt",129,101-150,5,0-50,7,0.15
65615,320761,Valerie,Brooklyn,Williamsburg,"Entire home/apt",130,101-150,49,0-50,10,0.48
65660,320538,Larissa,Brooklyn,Williamsburg,"Entire home/apt",95,51-100,132,101-150,4,1.27
65813,321756,Eric,Manhattan,Harlem,"Private room",75,51-100,20,0-50,3,0.26
