title,director,cast,country,date_added,release_year,rating,listed_in,description,num_of_seasons
"100 Days My Prince",NULL,"Doh Kyung-soo, Nam Ji-hyun, Cho Seong-ha, Cho Han-cheul, Kim Seon-ho, Han So-hee","South Korea","2020-12-07 00:00:00",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","Upon losing his memory, a crown prince encounters a commoner’s life and experiences unforgettable love as the husband to Joseon’s oldest bachelorette.",1
"100 Humans",NULL,"Zainab Johnson, Sammy Obeid, Alie Ward","United States","2020-03-13 00:00:00",2020,TV-14,"Docuseries, Science & Nature TV","One hundred hardy souls from diverse backgrounds participate in playful experiments exploring age, sex, happiness and other aspects of being human.",1
"100% Hotter",NULL,"Daniel Palmer, Melissa Sophia, Karen Williams, Grace Woodward","United Kingdom","2019-11-01 00:00:00",2017,TV-14,"British TV Shows, International TV Shows, Reality TV","A stylist, a hair designer and a makeup artist team up to give Britain's biggest fashion disasters some much-needed makeunders.",1
"12 Years Promise",NULL,"So-yeon Lee, Namkoong Min, Tae-im Lee, So-hui Yoon, Won-keun Lee, Hyo-young Ryu","South Korea","2017-05-22 00:00:00",2014,TV-14,"International TV Shows, Korean TV Shows, Romantic TV Shows","A pregnant teen is forced by her family to leave her boyfriend and assume a new identity in America, but 12 years later, the couple reunites in Korea.",1
"13 Reasons Why",NULL,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Brian d'Arcy James, Alisha Boe, Christian Navarro, Miles Heizer, Ross Butler, Devin Druid, Michele Selene Ang, Steven Silver, Amy Hargreaves","United States","2020-06-05 00:00:00",2020,TV-MA,"Crime TV Shows, TV Dramas, TV Mysteries","After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.",4
"13 Reasons Why: Beyond the Reasons",NULL,"Dylan Minnette, Katherine Langford, Kate Walsh, Derek Luke, Alisha Boe, Justin Prentice, Brandon Flynn, Miles Heizer, Christian Navarro, Brian Yorkey, Tom McCarthy, Selena Gomez, Mandy Teefey, Jay Asher, Dr. Rona Hu, Dr. Helen Hsu, Dr. Rebecca Hedrick, Alexis Jones, Elaine Welteroth, Julia Bicknell, Dr. Christine Moutier, Nic Sheff, Carrie Goldberg, Anne Winters, Joy Gorman, Brandon Butler, Marissa Jo Cerar, Susanne Timms","United States","2019-08-23 00:00:00",2019,TV-MA,"Crime TV Shows, Docuseries","Cast members, writers, producers and mental health professionals discuss some of the difficult issues and themes explored in "13 Reasons Why."",3
"20 Minutes",NULL,"Tuba Büyüküstün, Ilker Aksum, Bülent Emin Yarar, İpek Bilgin, Müjde Uzman, Firat Çelik, Ayten Uncuoglu, Cihat Tamer",Turkey,"2017-08-15 00:00:00",2013,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","When his wife is convicted of murder, a horrified family man races to prove her innocence while a dogged investigator sets out to uncover the truth.",1
"21 Again",NULL,"Laura Morgan","United Kingdom","2020-07-01 00:00:00",2019,TV-MA,"British TV Shows, Reality TV","In a social experiment, a group of daughters sends their mothers, disguised as 21-year-olds, into the world to experience life as a member of Gen Z.",1
"21 Sarfarosh: Saragarhi 1897",NULL,"Luke Kenny, Mohit Raina, Mukul Dev",India,"2018-12-01 00:00:00",2018,TV-14,"International TV Shows, TV Dramas","In one of history's greatest last stands, a battalion of 21 Sikh soldiers fights to defend their outpost from attack by over 10,000 Afghans.",1
"21 Thunder",NULL,"Stephanie Bennett, Emmanuel Kabongo, RJ Fetherstonhaugh, Andres Joseph, Kevin Claydon, Conrad Pla, Clark Backo, Ryan Pierce, Eileen Li, Susan Bain, Cristina Rosato, Jonathan Kim, Colm Feore",Canada,"2018-03-01 00:00:00",2017,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","Players and coaches for a Montreal soccer team chase dreams of stardom while their personal lives erupt with love, fear, passion and violence.",1
"28 Moons",NULL,"Jin-sung Yang, Kyu-jong Kim, Tae-hwan Kang, Geummi","South Korea","2017-06-10 00:00:00",2016,TV-PG,"International TV Shows, Korean TV Shows, Romantic TV Shows","When her fiancé acts strangely upon receiving a mysterious invitation, a florist sets out to find out the truth behind the tiny scrap of paper.",1
"3Below: Tales of Arcadia",NULL,"Tatiana Maslany, Diego Luna, Nick Offerman, Nick Frost, Glenn Close, Alon Aboutboul, Hayley Atwell, Darin De Paul, Andy Garcia, Cheryl Hines, Tom Kenny, Chris Obi, Cole Sand, Frank Welker, Steven Yeun","United States","2019-07-12 00:00:00",2019,TV-Y7,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",2
"44 Cats",NULL,"Sarah Natochenny, Suzy Myers, Simona Berman, Erica Schroeder, Marca Leigh, Scottie Ray, Henry F. Benjamin",Italy,"2020-10-01 00:00:00",2018,TV-Y7,"Kids' TV","Paw-esome tales abound when singing furry friends Lampo, Milady, Pilou and Meatball band together.",2
"45 rpm",NULL,"Carlos Cuevas, Guiomar Puerta, Iván Marcos, Israel Elejalde, Eudald Font, Luis Larrodera, Carmen Gutiérrez, Diana Gómez, Vito Sanz, Marina San José, Pere Ponce, Joan Pera",Spain,"2019-08-16 00:00:00",2019,TV-MA,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows","In 1960s Madrid, music producer Guillermo Rojas launches a rock 'n' roll label with the help of aspiring singer Robert and clever producer Maribel.",1
"60 Days In",NULL,NULL,"United States","2020-11-01 00:00:00",2019,TV-MA,"Reality TV","Recruited by a sheriff, volunteers infiltrate county prisons to expose corruption and crime from within the system in this docuseries.",1
"7 (Seven)","Nizar Shafi","Rahman, Havish, Regina Cassandra, Nandita Swetha, Anisha Ambrose, Tridha Choudhury, Pujitha Ponnada, Aditi Arya",India,"2019-07-30 00:00:00",2019,TV-14,"TV Shows","Multiple women report their husbands as missing but when it appears they are looking for the same man, a police officer traces their cryptic connection.",1
"7 Days Out",NULL,NULL,"United States","2018-12-21 00:00:00",2018,TV-PG,Docuseries,"Witness the excitement and drama behind the scenes in the seven days leading up to major live events in the worlds of sports, fashion, space and food.",1
"72 Cutest Animals",NULL,NULL,Australia,"2016-06-01 00:00:00",2016,TV-PG,"Docuseries, International TV Shows, Science & Nature TV","This series examines the nature of cuteness and how adorability helps some animal species to survive and thrive in a variety of environments.",1
"72 Dangerous Animals: Asia",NULL,"Bob Brisbane",Australia,"2018-08-10 00:00:00",2018,TV-14,"Docuseries, International TV Shows, Science & Nature TV","From fangs to claws to venomous stings, they all wield deadly weapons. But which creature will be crowned the fiercest of all?",1
"72 Dangerous Animals: Latin America",NULL,"Bob Brisbane","Australia, United States","2017-12-22 00:00:00",2017,TV-14,"Docuseries, International TV Shows, Science & Nature TV","Powerful cats, indestructible arachnids and flesh-melting pit vipers are just the beginning in this series about Latin America's deadliest creatures.",1
"72 Dangerous Places to Live",NULL,"Mitch Ryan",Australia,"2016-06-01 00:00:00",2016,TV-PG,"Docuseries, International TV Shows, Science & Nature TV","Get up close and personal with avalanches, fiery volcanoes and other natural cataclysms, and learn why some choose to live in their destructive paths.",1
7SEEDS,NULL,"Nao Toyama, Jun Fukuyama, Katsuyuki Konishi, Yoko Soumi, Kana Asumi, Akira Ishida, Aoi Yuki, Kazuhiko Inoue, Yoko Hikasa, Hirofumi Nojima, Ryotaro Okiayu, Eri Kitamura, Mamiko Noto, Ryo Hirohashi, Shizuka Ito, Hisao Egawa, Mayumi Asano, Kenta Miyake, Ai Kakuma, Kaito Ishikawa, Mikako Komatsu, Daisuke Sakaguchi, Takanori Hoshino, Kenjiro Tsuda, Nozomu Sasaki, Kenji Nojima, Houko Kuwashima, Kensho Ono, Takahiro Sakurai, Haruka Chisuga, Yu Shimamura, Takuma Terashima, Takuya Sato, Junko Minagawa, Masashi Sugawara, Sho Hayami, Kazuyuki Okitsu, Minako Kotobuki",NULL,"2020-03-26 00:00:00",2020,TV-MA,"Anime Series, International TV Shows","Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth.",2
"9 Months That Made You",NULL,"Demetri Goritsas","United States","2017-03-01 00:00:00",2016,TV-PG,"British TV Shows, Docuseries, Science & Nature TV","Witness the wonders of human gestation through cutting-edge CGI, and learn how those nine months inside the womb can affect all aspects of one's life.",1
"A Boy Name Flora A",NULL,"Crowd Lu, Tsai Chen-nan, Lotus Wang, Fan Chu-Mei, Hsieh Ying-shiuan, Vera Yen, Cammy Chiang",Taiwan,"2017-09-01 00:00:00",2017,TV-MA,"International TV Shows, TV Comedies, TV Dramas","A 28-year-old layabout begins to re-examine his life when his dysfunctional family assembles to pay respects to a dying grandmother who won’t pass on.",1
"A Good Wife",NULL,"Tien Hsin, Christopher Lee, Darren Chiu, Shara Lin, Blaire Chang, Xi Man-Ning, Chu De-Kang",Taiwan,"2017-01-01 00:00:00",2013,TV-14,"International TV Shows, Romantic TV Shows, TV Dramas","As her seemingly idyllic life begins to crumble, a lonely woman in a restrictive marriage starts an affair with a gentle bookstore owner.",1
"A House of Blocks",NULL,"Eli Shi, Phoebe Lin, Chen Wan-ting, Fan Chen-fei, Lu Hsueh-feng, Figaro Tseng, Winnie Chang, Elten Ting",Taiwan,"2017-09-01 00:00:00",2017,TV-PG,"International TV Shows, TV Dramas, TV Horror","Yijuan and her mentally ill sister Kaiqi struggle to be happy in the face of misfortune, criminal intrigue, marital strife, an exorcism and a ghost.",1
"A Korean Odyssey",NULL,"Lee Seung-gi, Cha Seung-won, Oh Yeon-seo, Lee Hong-gi, Jang Gwang, Lee Se-young","South Korea","2019-03-05 00:00:00",2017,TV-MA,"International TV Shows, Korean TV Shows, Romantic TV Shows","A self-serving mythical creature's bid for invincibility backfires when he finds himself at the mercy of a woman who can see otherworldly beings.",1
"A Lion in the House","Steven Bognar, Julia Reichert",NULL,"United States","2020-11-10 00:00:00",2006,TV-14,"TV Shows","Five kids and their resilient families navigate the treatments and traumas of pediatric cancer in this documentary filmed over the course of six years.",1
"A Little Help with Carol Burnett",NULL,"Carol Burnett, Russell Peters, Mark Cuban, Taraji P. Henson, Brittany Snow, Wanda Sykes, Derek Hough, Billy Eichner, Lisa Kudrow, Candace Cameron Bure, DJ Khaled, Tony Hale, Julie Bowen","United States","2018-05-04 00:00:00",2018,TV-G,"Stand-Up Comedy & Talk Shows, TV Comedies","Comedy icon Carol Burnett returns to TV with a panel of clever kids, who help adults and celebrity guests solve their problems with brutal honesty.",1
"A Little Thing Called First Love",NULL,"Lai Kuan-lin, Zhao Jinmai, Wang Runze, Chai Wei, Wang Bowen",China,"2019-10-26 00:00:00",2019,TV-G,"International TV Shows, Romantic TV Shows, Teen TV Shows","A shy college student with a knack for drawing develops a crush on a musically gifted classmate and embarks on a journey of self-discovery.",1
"A Love So Beautiful",NULL,"Kim Yo-han, So Joo-yeon, Yeo Hoi-hyun, Jeong Jin-hwan, Jo Hye-joo, Yun Seo-hyun, Cho Ryun, Kim Sung-gon, Seong Hye-min, Park Ji-won","South Korea","2020-12-28 00:00:00",2020,TV-PG,"International TV Shows, Romantic TV Shows, TV Comedies","Love is as tough as it is sweet for a lovestruck teenager, whose relationship with her next-door neighbor transforms as they grow into adulthood.",1
"A Man Called God",NULL,"Song Il-gook, Han Chae-young, Kim Min-jong, Go Eun Han, Jung Hoon Lee, Nam Da-Reum, Yoo In-young","South Korea","2019-03-12 00:00:00",2010,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows","Raised in America, government agent Choi Kang-Ta returns to Korea with the skills of an assassin and a thirst for revenge on his father’s killers.",1
"A Perfect Crime",NULL,NULL,Germany,"2020-09-25 00:00:00",2020,TV-14,"Crime TV Shows, Docuseries, International TV Shows","This docuseries investigates the 1991 killing of politician Detlev Rohwedder, an unsolved mystery at the heart of Germany's tumultuous reunification.",1
"A Queen Is Born","Carla Barros","Gloria Groove, Alexia Twister",Brazil,"2020-11-11 00:00:00",2020,TV-14,"International TV Shows, Reality TV","Gloria Groove and Alexia Twister make drag dreams come true as they help six artists find the confidence to own the stage in this makeover show.",1
"A Series of Unfortunate Events",NULL,"Neil Patrick Harris, Patrick Warburton, Malina Weissman, Louis Hynes, K. Todd Freeman, Joan Cusack, Aasif Mandvi","United States","2019-01-01 00:00:00",2019,TV-PG,"Kids' TV, TV Action & Adventure, TV Comedies","The extraordinary Baudelaire orphans face trials, tribulations and the evil Count Olaf in their fateful quest to unlock long-held family secrets.",3
"A Taiwanese Tale of Two Cities",NULL,"Tammy Chen, James Wen, Peggy Tseng, Denny Huang",Taiwan,"2019-01-27 00:00:00",2018,TV-MA,"International TV Shows, TV Dramas","A Taipei doctor and a San Francisco engineer swap homes in a daring pact, embarking on journeys filled with trials, secrets and unexpected encounters.",1
"A Thousand Goodnights",NULL,"Cindy Lien, Nicholas Teo, Yao Ai-ning, Li Chung-lin, Chen Bor-jeng, Miao Ke-li",Taiwan,"2019-06-01 00:00:00",2019,TV-14,"International TV Shows, TV Dramas","To carry out her dad's wish and discover her roots, Dai Tian-qing embarks on a journey around Taiwan and finds love and redemption on the way.",1
"A Touch of Green",NULL,"Weber Yang, Cheryl Yang, Tien Hsin, Gabriel Lan, Wu Kang-jen, Cindy Lien, Wen Chen-ling, Hans Chung",Taiwan,"2020-07-01 00:00:00",2016,TV-MA,"International TV Shows, TV Dramas","Amid the turmoil of China's civil war, families of Kuomintang pilots face the pain of leaving their homes but find strength in their shared bonds.",1
"A Very Secret Service",NULL,"Hugo Becker, Wilfred Benaïche, Christophe Kourotchkine, Karim Barras, Bruno Paviot, Jean-Édouard Bodziak, Mathilde Warnier, Joséphine de La Baume, Marie-Julie Baup, Antoine Gouy, Julie Farenc",France,"2018-07-30 00:00:00",2018,TV-MA,"International TV Shows, TV Comedies","At the height of the Cold War in 1960, André Merlaux joins the French Secret Service and contends with enemies both foreign and bureaucratic.",2
"A Year In Space",NULL,"Scott Kelly","United States","2019-11-01 00:00:00",2015,TV-PG,"Docuseries, International TV Shows, Science & Nature TV","Two astronauts attempt to brave a life in Earth's orbit on a record-setting mission to see if humans have the endurance to survive a flight to Mars.",1
"A Young Doctor's Notebook and Other Stories",NULL,"Daniel Radcliffe, Jon Hamm, Adam Godley, Christopher Godwin, Rosie Cavaliero, Vicki Pepperdine, Margaret Clunie, Tim Steed, Shaun Pye","United Kingdom",NULL,2013,TV-MA,"British TV Shows, TV Comedies, TV Dramas","Set during the Russian Revolution, this comic miniseries is based on a doctor's memories of his early career working in an out-of-the-way village.",2
"A.D. Kingdom and Empire",NULL,"Juan Pablo Di Pace, Adam Levy, Chipo Chung, Babou Ceesay, Emmett Scanlan, Will Thorp, Richard Coyle, Vincent Regan, Greta Scacchi, James Callis, Joanne Whalley, Jodhi May, Chris Brazier, Fraser Ayres, Jóhannes Haukur Jóhannesson, Ken Bones, Kenneth Collard","United States","2017-12-15 00:00:00",2015,TV-14,"TV Dramas","In the wake of Jesus Christ's crucifixion, his apostles dedicate themselves to spreading his message, risking their freedom and their lives.",1
A.I.C.O.,"Kazuya Murata","Haruka Shiraishi, Yusuke Kobayashi, Makoto Furukawa, Taishi Murata, Kaori Nazuka, M・A・O, Ryota Takeuchi, Ai Kayano, Toru Okawa, Takehito Koyasu, Atsuko Tanaka",Japan,"2018-03-09 00:00:00",2018,TV-14,"Anime Series, International TV Shows","Everything Aiko knew was a lie. Now she's joining a team of Divers to reach the place where the Burst began to stop it for good and save her family.",1
"Abby Hatcher","Kyran Kelly","Macy Drouin, Wyatt White, Paul Sun-Hyung Lee, Michela Luci, Christian Dal Dosso, Laaibah Alvi, Leo Orgil","United States, Canada","2020-07-01 00:00:00",2019,TV-Y,"Kids' TV","A big-hearted girl helps her Fuzzly friends who live in her family's hotel with exploring feelings, fixing mishaps and embracing their special quirks.",1
"Abnormal Summit","Jung-ah Im, Seung-uk Jo","Hyun-moo Jun, Si-kyung Sung, Se-yoon Yoo","South Korea","2017-08-04 00:00:00",2017,TV-PG,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows","Led by a trio of Korean celebs, a multinational panel of men engage in – usually – lighthearted debates on issues that surround Korea and beyond.",2
"Abstract: The Art of Design",NULL,"Christoph Niemann, Tinker Hatfield, Es Devlin, Bjarke Ingels, Paula Scher, Platon, Ilse Crawford, Ralph Gilles","United States","2019-09-25 00:00:00",2019,TV-14,Docuseries,"Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.",2
"Absurd Planet",NULL,"Afi Ekulona","United States","2020-04-22 00:00:00",2020,TV-PG,"Docuseries, Science & Nature TV, TV Comedies","A cast of quirky critters and Mother Nature herself narrate this funny science series, which peeks into the lives of Earth’s most incredible animals.",1
Abyss,NULL,"Park Bo-young, Ahn Hyo-seop, Lee Sung-jae, Lee Si-eon, Han So-hee, Kwon Soo-hyun, Kim Sa-rang, Ahn Se-ha, Yun Yoo-sun","South Korea","2019-05-07 00:00:00",2019,TV-14,"Crime TV Shows, International TV Shows, Korean TV Shows","After meeting an untimely demise in separate incidents, Cha Min and Go Se-yeon discover they’ve come back to life in new bodies they don’t recognize.",1
"Accidentally in Love",NULL,"Junchen Guo, Yi Ning Sun, Yi Qin Zhao, Mu Xuan Cheng, Li Ma, Mo Zhou",China,"2018-10-19 00:00:00",2018,TV-14,"International TV Shows, Romantic TV Shows, TV Comedies","Rejecting the demands of her wealthy family, a young woman poses as an ordinary college student and crosses paths with a stoic pop star at school.",1
"Ad Vitam",NULL,"Yvan Attal, Garance Marillier, Niels Schneider, Victor Assié, Rod Paradot, Anne Azoulay, Adel Bencherif",France,"2019-11-01 00:00:00",2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","In a future where regeneration technology lets humans live indefinitely, a cop and a troubled young woman investigate a strange wave of youth suicides.",1
"Adam Ruins Everything",NULL,"Adam Conover, Adam Lustick, Emily Axford","United States","2018-09-30 00:00:00",2018,TV-14,"TV Comedies","Education can be fun – and funny. Comedian Adam Conover bursts misconceptions, deconstructs topics and leaves with positive takeaways.",1
Afflicted,NULL,NULL,"United States","2018-08-10 00:00:00",2018,TV-MA,"Docuseries, Reality TV, Science & Nature TV","Baffling symptoms. Controversial diagnoses. Costly treatments. Seven people with chronic illnesses search for answers – and relief.",1
Africa,NULL,"David Attenborough","United Kingdom","2016-04-28 00:00:00",2013,TV-PG,"British TV Shows, Docuseries, International TV Shows","This five-part nature series chronicles fascinating stories of survival on the African continent, home to the most diverse animal life on the planet.",1
"Afronta! Facing It!","Juliana Vicente","Loo Nascimento, Ingrid Silva, Rincon Sapiência, Batekoo, Gabriel Martins, Benjamin Abras, Daniele DaMata, Tasha & Tracie Okereke, Mariana de Matos, André Novais, Mahal Pita, Grace Passô, Thamyra Thâmara, Xenia França, Criola, Dani Ornellas, Anelis Assumpção, Magá Moura, Tássia Reis, Liniker, Yasmin Thayná, Raquel Virgínia, Juliana Luna, Erica Malunguinho, Diane Lima, Karol Conká",Brazil,"2020-10-31 00:00:00",2017,TV-PG,"Docuseries, International TV Shows","This docuseries spotlights Afro-Brazilian thinkers sharing their individual journeys and discussing representation, entrepreneurship and community.",1
"After Life",NULL,"Ricky Gervais, Tom Basden, Tony Way, Diane Morgan, Mandeep Dhillon, David Bradley, Ashley Jensen, Kerry Godliman","United Kingdom","2020-04-24 00:00:00",2020,TV-MA,"British TV Shows, International TV Shows, TV Comedies","Struggling to come to terms with his wife's death, a writer for a newspaper adopts a gruff new persona in an effort to push away those trying to help.",2
"Against the Tide",NULL,"Christopher Lee, Rui En, Desmond Tan, Zheng Geping, Zhang Zhenhuan, Paige Chua, Xu Bin, Carrie Wong",Singapore,"2017-07-01 00:00:00",2014,TV-14,"Crime TV Shows, International TV Shows, TV Dramas","A detective and a psychologist investigating a string of murders form a crime-solving team with the novelist whose work inspired the killings.",1
"Age Gap Love",NULL,"Fay Ripley","United Kingdom","2019-07-12 00:00:00",2017,TV-MA,"British TV Shows, Reality TV, Romantic TV Shows","Despite the social backlash and challenges that come with intergenerational romance, these couples choose to stick together through thick and thin.",1
"Age of Glory",NULL,"Debbie Goh, Aenie Wong, Frederick Lee, Leslie Chai",NULL,"2017-08-14 00:00:00",2010,TV-MA,"International TV Shows, Romantic TV Shows, TV Dramas","Amid the thriving nightlife of 1960s Kuala Lumpur, three Chinese friends – a showgirl, her housekeeper and a chanteuse – find love and heartbreak.",2
"Age of Rebellion","Peter Ho","Peter Ho, Jeanine Yang, Tammy Chen, Jason Tsou, Chang Ting-hu, Nana Lee, Nien Hsuan Wu",Taiwan,"2018-09-01 00:00:00",2018,TV-MA,"Crime TV Shows, International TV Shows, TV Dramas","At their high school, a group of unruly teens wreak havoc, face bullies and navigate turbulent lives beyond school grounds.",1
"Age of Tanks",NULL,NULL,"Germany, France, Russia","2018-11-10 00:00:00",2017,TV-PG,"Docuseries, International TV Shows, Science & Nature TV","The history of military tanks unfolds in a documentary series that traces their role in history and geopolitics from World War I to the 21st century.",1
Agent,NULL,"Khumbulani Kay Sibiya, Sisanda Henna, Tarynn Wyngaard, Anthony Oseyemi, Virgile Bramly, Manie Malone, Yannick Konnan, Vinaya Sungkur, Michaella Russell, Thabo Malema","Mauritius, South Africa","2019-12-20 00:00:00",2019,TV-MA,"International TV Shows, TV Dramas","A former footballer tries to make it as a player agent in the world of African soccer, but a secret from his past threatens to destroy everything.",1
"Agent Raghav",NULL,"Sharad Kelkar, Aahana Kumra, Mahesh Manjrekar, Deepali Pansare, Danish Pandor, Jason Tham, Reena Aggarwal, Swati Rajput",India,"2017-04-15 00:00:00",2015,TV-14,"Crime TV Shows, International TV Shows, TV Action & Adventure","A mix of brilliance, erudition and skill enables a modern Sherlock Holmes to solve impossible cases, all while he tries to heal personal wounds.",1
Aggretsuko,NULL,"Kaolip, Komegumi Koiwasaki, Maki Tsuruta, Sohta Arai, Rina Inoue, Shingo Kato, Yuki Takahashi",Japan,"2020-08-27 00:00:00",2020,TV-14,"Anime Series, International TV Shows","Frustrated with her thankless office job, Retsuko the Red Panda copes with her daily struggles by belting out death metal karaoke after work.",3
"Ainori Love Wagon: African Journey",NULL,"Becky, Ryo Kato, Karina Maruyama, Kohei Takeda",Japan,"2020-01-30 00:00:00",2019,TV-14,"International TV Shows, Reality TV, Romantic TV Shows","To find love, seven strangers leave Japan and embark on a journey through the continent of Africa together. Challenges, adventure and romance await!",1
"Ainori Love Wagon: Asian Journey",NULL,"Becky, Audrey, Mayuko Kawakita, Shimon Okura",Japan,"2019-03-28 00:00:00",2018,TV-MA,"International TV Shows, Reality TV, Romantic TV Shows","Seven men and women board a pink bus in search of true love. On a journey through Asia with strangers, their goal is to return to Japan as a couple.",2
"Ainsley Eats the Streets",NULL,"Ainsley Harriott","United Kingdom","2019-07-12 00:00:00",2014,TV-PG,"British TV Shows, Docuseries, International TV Shows","Celebrity chef Ainsley Harriott embarks on a journey around the world to explore the relationship between local street foods and cultural identity.",1
"AJ and the Queen",NULL,"RuPaul Charles, Izzy G., Michael-Leon Wooley, Josh Segarra, Katerina Tannenbaum, Tia Carrere","United States","2020-01-10 00:00:00",2020,TV-14,"TV Comedies, TV Dramas","While traveling across the country in a run-down RV, drag queen Ruby Red discovers an unlikely sidekick in AJ: a tough-talking 10-year-old stowaway.",1
"Ajaibnya Cinta",NULL,NULL,NULL,"2017-10-13 00:00:00",2015,TV-PG,"International TV Shows, TV Dramas","Upon returning home from his studies abroad, young grad Akif finds himself involved with four women in this continuation of the series "Spain Uoolss."",1
"AJIN: Demi-Human",NULL,"Mamoru Miyano, Yoshimasa Hosoya, Jun Fukuyama, Hochu Otsuka, Daisuke Hirakawa, Takahiro Sakurai, Mikako Komatsu, Hiroyuki Kinoshita, Aya Suzaki",Japan,"2016-12-27 00:00:00",2016,TV-MA,"Anime Series, International TV Shows","A teenager discovers that he is an Ajin and flees before the authorities experiment on him. Other Ajin plan to fight back and he must choose a side.",2
