job id,job title 1,job title 2,published date,removed date,SALARY ESTIMATE,COMPANY_NAME,COMPANY_RANK,STATE_OF_COMPANY,HEADQUARTERS_OF_COMPANY,COMPANY_SIZE,COMPANY_MARKET_VALUE
23,Environmental,Specialist,2020-06-03 17:47:55,2020-07-17 17:47:55,10K-103K,Eidel,3.0,          Ohio         ,Dayton,20.0 to 34.0 employees,620.0
24,Account,Executive,2017-10-08 04:43:52,2017-12-30 04:43:52,55K-105K,Realfire,6.0,          Minnesota         ,Duluth,50.0 to 85.0 employees,770.0
25,Internal,Auditor,2019-03-02 20:05:00,2019-05-23 20:05:00,67K-198K,Thoughtstorm,10.0,          Texas         ,Corpus Christi,90.0 to 153.0 employees,853.3333333333335
26,Food,Chemist,2016-08-29 07:19:20,2016-12-03 07:19:20,100K-153K,Flipbug,5.0,          Louisiana         ,Baton Rouge,40.0 to 68.0 employees,734.2857142857142
27,Environmental,Specialist,2019-03-06 12:25:40,2019-05-21 12:25:40,25K-182K,Vinder,4.0,          Indiana         ,Evansville,30.0 to 51.0 employees,686.6666666666666
28,Administrative,Assistant I,2020-12-14 11:21:35,2021-01-27 11:21:35,45K-170K,Flashdog,6.0,          Florida         ,Pensacola,50.0 to 85.0 employees,770.0
29,Research,Nurse,2018-09-19 08:21:13,2018-11-27 08:21:13,70K-176K,Tambee,4.0,          California         ,Visalia,30.0 to 51.0 employees,686.6666666666666
30,Recruiting,Manager,2017-02-03 15:41:21,2017-03-27 15:41:21,46K-178K,Feedbug,5.0,          Georgia         ,Atlanta,40.0 to 68.0 employees,734.2857142857142
31,Structural,Analysis Engineer,2017-06-03 17:06:07,2017-06-06 17:06:07,94K-143K,Jabberbean,8.0,          New Jersey         ,Camden,70.0 to 119.0 employees,820.0
32,Sales,Representative,2017-08-10 18:41:24,2017-09-12 18:41:24,25K-190K,Dabtype,5.0,          Florida         ,Lehigh Acres,40.0 to 68.0 employees,734.2857142857142
33,Pharmacist,,2018-11-01 02:48:20,2019-02-01 02:48:20,13K-163K,Oba,1.0,          Connecticut         ,Fairfield,0.0 to 0.0 employees,353.33333333333326
34,VP,Marketing,2020-08-01 21:12:51,2020-09-24 21:12:51,90K-110K,Oyope,3.0,          North Carolina         ,Winston Salem,20.0 to 34.0 employees,620.0
35,Help,Desk Technician,2016-04-11 08:05:27,2016-05-03 08:05:27,12K-135K,Roodel,4.0,          Virginia         ,Richmond,30.0 to 51.0 employees,686.6666666666666
36,Health,Coach IV,2019-01-13 00:47:33,2019-03-14 00:47:33,9K-132K,Latz,2.0,          California         ,Van Nuys,10.0 to 17.0 employees,520.0
37,Project,Manager,2018-07-08 10:55:40,2018-07-26 10:55:40,73K-158K,Latz,2.0,          Michigan         ,Flint,10.0 to 17.0 employees,520.0
38,VP,Quality Control,2020-12-07 14:55:47,2021-03-10 14:55:47,88K-111K,Topdrive,6.0,          Illinois         ,Chicago,50.0 to 85.0 employees,770.0
39,Software,Engineer III,2020-05-07 16:47:12,2020-07-08 16:47:12,96K-162K,Livetube,6.0,          California         ,San Diego,50.0 to 85.0 employees,770.0
40,Graphic,Designer,2020-02-24 19:02:53,2020-04-18 19:02:53,98K-103K,Buzzster,6.0,          Texas         ,Katy,50.0 to 85.0 employees,770.0
41,Help,Desk Operator,2018-04-19 09:57:56,2018-07-09 09:57:56,66K-154K,Voolith,5.0,          Texas         ,Bryan,40.0 to 68.0 employees,734.2857142857142
42,Media,Manager I,2019-03-25 06:16:46,2019-04-13 06:16:46,4K-154K,Buzzbean,6.0,          Texas         ,Corpus Christi,50.0 to 85.0 employees,770.0
43,Actuary,,2019-08-05 00:52:23,2019-11-07 00:52:23,69K-200K,Abatz,3.0,          New York         ,White Plains,20.0 to 34.0 employees,620.0
44,Biostatistician,II,2020-11-03 00:28:10,2020-12-25 00:28:10,12K-180K,Zoombox,5.0,          Missouri         ,Columbia,40.0 to 68.0 employees,734.2857142857142
45,Teacher,,2017-12-04 16:56:43,2018-02-05 16:56:43,53K-124K,Buzzbean,6.0,          New York         ,Flushing,50.0 to 85.0 employees,770.0
46,Data,Coordiator,2020-03-29 10:42:59,2020-04-25 10:42:59,3K-189K,LiveZ,3.0,          Minnesota         ,Duluth,20.0 to 34.0 employees,620.0
47,Engineer,IV,2018-03-01 12:47:33,2018-03-28 12:47:33,4K-139K,Rhynoodle,7.0,          Indiana         ,Indianapolis,60.0 to 102.0 employees,797.7777777777777
48,Analyst,Programmer,2021-01-10 03:38:44,2021-02-05 03:38:44,28K-167K,Eayo,2.0,          New York         ,Brooklyn,10.0 to 17.0 employees,520.0
49,Professor,,2018-04-10 12:09:25,2018-04-14 12:09:25,86K-189K,Mydeo,3.0,          Florida         ,Clearwater,20.0 to 34.0 employees,620.0
50,Physical,Therapy Assistant,2020-08-05 16:43:55,2020-10-03 16:43:55,24K-145K,Zoomlounge,8.0,          New York         ,New York City,70.0 to 119.0 employees,820.0
51,Librarian,,2017-10-03 08:03:58,2017-12-13 08:03:58,42K-150K,Skyble,4.0,          Illinois         ,Springfield,30.0 to 51.0 employees,686.6666666666666
52,Software,Engineer II,2018-05-11 07:02:23,2018-06-06 07:02:23,100K-189K,Pixope,4.0,          Florida         ,Saint Petersburg,30.0 to 51.0 employees,686.6666666666666
53,Associate,Professor,2016-03-23 11:40:52,2016-06-02 11:40:52,95K-117K,Linklinks,7.0,          Kentucky         ,Lexington,60.0 to 102.0 employees,797.7777777777777
54,Geological,Engineer,2017-07-01 02:25:56,2017-09-01 02:25:56,67K-170K,Devbug,4.0,          Texas         ,Denton,30.0 to 51.0 employees,686.6666666666666
55,Community,Outreach Specialist,2017-01-07 06:03:01,2017-01-15 06:03:01,17K-173K,Shuffledrive,10.0,          Florida         ,Lehigh Acres,90.0 to 153.0 employees,853.3333333333335
56,Sales,Representative,2021-01-14 09:38:26,2021-03-26 09:38:26,38K-112K,Viva,2.0,          Florida         ,Clearwater,10.0 to 17.0 employees,520.0
57,Software,Consultant,2017-04-01 22:34:16,2017-04-21 22:34:16,74K-195K,Voonix,4.0,          Mississippi         ,Jackson,30.0 to 51.0 employees,686.6666666666666
58,Librarian,,2017-03-31 01:02:32,2017-04-15 01:02:32,55K-188K,Wordpedia,7.0,          Mississippi         ,Meridian,60.0 to 102.0 employees,797.7777777777777
59,Human,Resources Assistant I,2018-04-26 16:49:35,2018-05-15 16:49:35,62K-163K,Skiptube,6.0,          Texas         ,Dallas,50.0 to 85.0 employees,770.0
60,Executive,Secretary,2020-06-05 18:37:44,2020-08-20 18:37:44,57K-199K,Tanoodle,6.0,          Indiana         ,South Bend,50.0 to 85.0 employees,770.0
61,Librarian,,2018-01-26 14:50:44,2018-03-13 14:50:44,98K-186K,Rhybox,4.0,          Colorado         ,,30.0 to 51.0 employees,686.6666666666666
62,Human,Resources Manager,2018-01-29 02:17:16,2018-04-03 02:17:16,81K-101K,Skyvu,3.0,          California         ,Irvine,20.0 to 34.0 employees,620.0
63,Project,Manager,2020-01-26 03:24:40,2020-04-06 03:24:40,14K-171K,Kayveo,4.0,          Virginia         ,Roanoke,30.0 to 51.0 employees,686.6666666666666
64,Physical,Therapy Assistant,2019-08-11 22:56:09,2019-08-29 22:56:09,42K-133K,Blogpad,5.0,          Virginia         ,Richmond,40.0 to 68.0 employees,734.2857142857142
65,Account,Executive,2017-02-15 12:42:23,2017-03-03 12:42:23,4K-143K,Buzzster,6.0,          Nebraska         ,Omaha,50.0 to 85.0 employees,770.0
66,Physical,Therapy Assistant,2016-08-20 00:59:38,2016-10-25 00:59:38,50K-104K,Eidel,3.0,          Louisiana         ,Shreveport,20.0 to 34.0 employees,620.0
67,Safety,Technician IV,2018-07-02 13:45:12,2018-08-06 13:45:12,100K-132K,Oyoloo,4.0,          Texas         ,Amarillo,30.0 to 51.0 employees,686.6666666666666
68,Senior,Sales Associate,2019-02-19 07:17:24,2019-04-04 07:17:24,15K-166K,Plambee,5.0,          Texas         ,Bryan,40.0 to 68.0 employees,734.2857142857142
69,Chief,Design Engineer,2017-09-20 04:58:53,2017-10-20 04:58:53,81K-121K,Voomm,3.0,          California         ,Salinas,20.0 to 34.0 employees,620.0
70,Physical,Therapy Assistant,2020-06-28 03:54:51,2020-07-24 03:54:51,63K-125K,Twitterbeat,9.0,          Florida         ,Miami,80.0 to 136.0 employees,838.1818181818182
71,Senior,Editor,2018-05-16 20:08:43,2018-07-30 20:08:43,63K-171K,Blognation,8.0,          District of Columbia         ,Washington,70.0 to 119.0 employees,820.0
72,Senior,Financial Analyst,2021-01-10 04:38:28,2021-04-14 04:38:28,78K-113K,Realbuzz,6.0,          Georgia         ,Columbus,50.0 to 85.0 employees,770.0
73,Senior,Sales Associate,2016-06-04 21:00:42,2016-08-17 21:00:42,27K-136K,Tavu,2.0,          Pennsylvania         ,Philadelphia,10.0 to 17.0 employees,520.0
74,Business,Systems Development Analyst,2019-11-11 07:06:56,2019-12-26 07:06:56,24K-176K,Zoovu,3.0,          Hawaii         ,Honolulu,20.0 to 34.0 employees,620.0
75,Office,Assistant IV,2019-05-30 02:43:55,2019-06-23 02:43:55,27K-145K,Ooba,2.0,          Tennessee         ,Knoxville,10.0 to 17.0 employees,520.0
76,Sales,Associate,2016-09-05 13:02:45,2016-10-31 13:02:45,91K-146K,Trudoo,4.0,          Colorado         ,Littleton,30.0 to 51.0 employees,686.6666666666666
77,Programmer,Analyst IV,2016-08-24 08:44:17,2016-10-26 08:44:17,10K-126K,Jazzy,3.0,          North Carolina         ,Greensboro,20.0 to 34.0 employees,620.0
78,VP,Product Management,2018-08-05 16:29:07,2018-09-26 16:29:07,77K-171K,Devshare,6.0,          Texas         ,Austin,50.0 to 85.0 employees,770.0
79,Environmental,Tech,2018-05-15 14:41:28,2018-06-13 14:41:28,65K-176K,Jetpulse,6.0,          Illinois         ,Springfield,50.0 to 85.0 employees,770.0
80,Chief,Design Engineer,2018-08-24 06:38:10,2018-09-22 06:38:10,38K-169K,Plajo,3.0,          Florida         ,Tampa,20.0 to 34.0 employees,620.0
81,Speech,Pathologist,2017-05-09 07:46:16,2017-07-08 07:46:16,25K-163K,Dynazzy,5.0,          Louisiana         ,New Orleans,40.0 to 68.0 employees,734.2857142857142
82,Tax,Accountant,2017-12-26 05:23:13,2018-01-14 05:23:13,73K-131K,Linkbuzz,6.0,          Texas         ,Dallas,50.0 to 85.0 employees,770.0
83,Assistant,Professor,2017-09-11 22:08:54,2017-10-16 22:08:54,42K-115K,Gigazoom,6.0,          California         ,Burbank,50.0 to 85.0 employees,770.0
84,Statistician,I,2018-01-10 15:11:12,2018-03-05 15:11:12,76K-128K,Ooba,2.0,          Illinois         ,Chicago,10.0 to 17.0 employees,520.0
85,Paralegal,,2021-01-10 16:13:49,2021-03-12 16:13:49,27K-197K,Kaymbo,4.0,          North Dakota         ,Bismarck,30.0 to 51.0 employees,686.6666666666666
86,Database,Administrator II,2016-02-11 12:49:37,2016-03-07 12:49:37,50K-110K,Realblab,6.0,          Louisiana         ,Baton Rouge,50.0 to 85.0 employees,770.0
87,Design,Engineer,2016-05-24 08:32:27,2016-08-11 08:32:27,55K-155K,Zooveo,4.0,          Tennessee         ,Nashville,30.0 to 51.0 employees,686.6666666666666
88,Clinical,Specialist,2016-04-25 02:11:46,2016-07-14 02:11:46,14K-119K,Jamia,3.0,          Texas         ,Garland,20.0 to 34.0 employees,620.0
89,VP,Quality Control,2020-01-01 04:05:38,2020-01-26 04:05:38,13K-152K,Quatz,3.0,          Indiana         ,Fort Wayne,20.0 to 34.0 employees,620.0
90,Internal,Auditor,2017-01-24 07:44:51,2017-04-07 07:44:51,28K-131K,Oyonder,5.0,          Pennsylvania         ,Scranton,40.0 to 68.0 employees,734.2857142857142
91,Junior,Executive,2019-01-26 16:51:52,2019-03-12 16:51:52,5K-176K,Edgeclub,6.0,          Pennsylvania         ,Pittsburgh,50.0 to 85.0 employees,770.0
92,Administrative,Assistant IV,2016-12-26 17:47:07,2017-01-19 17:47:07,53K-133K,Innojam,5.0,          Delaware         ,Newark,40.0 to 68.0 employees,734.2857142857142
93,Web,Developer IV,2020-08-24 19:45:02,2020-11-09 19:45:02,30K-155K,Omba,2.0,          Minnesota         ,Minneapolis,10.0 to 17.0 employees,520.0
94,Structural,Analysis Engineer,2018-10-26 07:54:22,2019-01-01 07:54:22,95K-120K,Zoonder,5.0,          Texas         ,San Antonio,40.0 to 68.0 employees,734.2857142857142
95,Civil,Engineer,2018-01-23 11:37:01,2018-01-28 11:37:01,32K-124K,Kwideo,4.0,          Illinois         ,Chicago,30.0 to 51.0 employees,686.6666666666666
96,Librarian,,2017-11-22 13:29:49,2017-12-21 13:29:49,17K-134K,Youspan,5.0,          New Mexico         ,Albuquerque,40.0 to 68.0 employees,734.2857142857142
97,Community,Outreach Specialist,2018-02-03 10:41:47,2018-03-29 10:41:47,77K-181K,Skaboo,4.0,          Alabama         ,Montgomery,30.0 to 51.0 employees,686.6666666666666
98,Teacher,,2019-10-12 13:37:05,2019-10-25 13:37:05,90K-105K,Quimba,4.0,          Arizona         ,Phoenix,30.0 to 51.0 employees,686.6666666666666
99,Structural,Engineer,2020-02-02 11:28:00,2020-05-04 11:28:00,100K-150K,Voonyx,4.0,          California         ,Santa Clara,30.0 to 51.0 employees,686.6666666666666
100,Chemical,Engineer,2021-02-01 07:07:57,2021-02-11 07:07:57,34K-116K,Vipe,2.0,          Florida         ,Saint Petersburg,10.0 to 17.0 employees,520.0
101,Assistant,Media Planner,2020-08-18 08:12:02,2020-11-12 08:12:02,88K-111K,Gigabox,5.0,          Texas         ,Wichita Falls,40.0 to 68.0 employees,734.2857142857142
102,Chemical,Engineer,2016-10-19 23:20:20,2016-11-12 23:20:20,72K-164K,Fliptune,6.0,          California         ,Riverside,50.0 to 85.0 employees,770.0
103,Staff,Accountant I,2020-03-31 07:06:03,2020-05-21 07:06:03,32K-121K,Riffpath,6.0,          Florida         ,Orlando,50.0 to 85.0 employees,770.0
104,Product,Engineer,2019-11-24 20:07:38,2019-12-05 20:07:38,97K-113K,Tanoodle,6.0,          California         ,San Jose,50.0 to 85.0 employees,770.0
105,Chemical,Engineer,2020-09-07 09:59:20,2020-12-10 09:59:20,69K-174K,Bubblemix,7.0,          District of Columbia         ,Washington,60.0 to 102.0 employees,797.7777777777777
106,Software,Engineer IV,2017-09-22 00:19:12,2017-09-30 00:19:12,44K-101K,Voomm,3.0,          Illinois         ,Rockford,20.0 to 34.0 employees,620.0
107,Recruiting,Manager,2017-06-15 12:58:21,2017-08-04 12:58:21,82K-131K,Wikivu,4.0,          California         ,Fresno,30.0 to 51.0 employees,686.6666666666666
108,Research,Associate,2020-05-24 18:17:47,2020-07-21 18:17:47,90K-112K,Babbleopia,8.0,          Oregon         ,Portland,70.0 to 119.0 employees,820.0
109,Human,Resources Manager,2020-04-24 01:04:17,2020-07-23 01:04:17,98K-109K,Edgetag,5.0,          Florida         ,Clearwater,40.0 to 68.0 employees,734.2857142857142
110,Technical,Writer,2019-11-01 18:35:48,2019-11-07 18:35:48,35K-102K,Riffwire,6.0,          California         ,Richmond,50.0 to 85.0 employees,770.0
111,Social,Worker,2020-12-27 10:51:39,2021-02-27 10:51:39,22K-174K,Gabvine,5.0,          Michigan         ,Lansing,40.0 to 68.0 employees,734.2857142857142
112,Account,Executive,2018-01-05 18:43:20,2018-02-07 18:43:20,2K-135K,Trilith,5.0,          Missouri         ,Kansas City,40.0 to 68.0 employees,734.2857142857142
113,Graphic,Designer,2019-02-04 10:46:41,2019-03-06 10:46:41,43K-197K,Dynabox,5.0,          Pennsylvania         ,Philadelphia,40.0 to 68.0 employees,734.2857142857142
114,Financial,Analyst,2018-07-09 14:35:20,2018-08-10 14:35:20,58K-171K,Photojam,6.0,          Texas         ,Dallas,50.0 to 85.0 employees,770.0
115,Analog,Circuit Design manager,2019-01-25 23:08:32,2019-04-20 23:08:32,31K-129K,Photojam,6.0,          Connecticut         ,Stamford,50.0 to 85.0 employees,770.0
116,Community,Outreach Specialist,2018-12-11 05:51:28,2019-01-06 05:51:28,22K-175K,Layo,2.0,          Texas         ,El Paso,10.0 to 17.0 employees,520.0
117,Quality,Engineer,2017-10-19 18:19:46,2017-10-29 18:19:46,66K-188K,JumpXS,4.0,          Arizona         ,Phoenix,30.0 to 51.0 employees,686.6666666666666
118,Accountant,IV,2019-11-17 17:15:19,2020-01-30 17:15:19,37K-171K,Twitterwire,9.0,          Colorado         ,Denver,80.0 to 136.0 employees,838.1818181818182
119,Account,Representative II,2017-12-29 08:33:52,2018-03-01 08:33:52,52K-164K,Tagfeed,5.0,          Virginia         ,Newport News,40.0 to 68.0 employees,734.2857142857142
120,Technical,Writer,2018-04-03 16:43:50,2018-06-27 16:43:50,22K-143K,Youtags,5.0,          New Jersey         ,Newark,40.0 to 68.0 employees,734.2857142857142
121,Registered,Nurse,2016-08-02 03:54:35,2016-08-31 03:54:35,69K-196K,Quimba,4.0,          Mississippi         ,Jackson,30.0 to 51.0 employees,686.6666666666666
122,Accounting,Assistant III,2017-01-13 05:37:13,2017-02-16 05:37:13,30K-150K,Tagopia,5.0,          Louisiana         ,New Orleans,40.0 to 68.0 employees,734.2857142857142
123,Structural,Engineer,2016-10-27 21:20:46,2017-01-25 21:20:46,64K-131K,Jaloo,3.0,          Florida         ,Pensacola,20.0 to 34.0 employees,620.0
124,Sales,Associate,2020-08-13 16:04:45,2020-09-27 16:04:45,100K-101K,Oba,1.0,          Missouri         ,Saint Louis,0.0 to 0.0 employees,353.33333333333326
125,Quality,Engineer,2016-06-21 07:14:15,2016-08-18 07:14:15,30K-192K,Realpoint,7.0,          Ohio         ,Columbus,60.0 to 102.0 employees,797.7777777777777
126,Social,Worker,2017-12-16 18:20:12,2018-01-10 18:20:12,39K-178K,Wikizz,4.0,          Texas         ,Plano,30.0 to 51.0 employees,686.6666666666666
127,Systems,Administrator III,2018-05-26 03:31:52,2018-05-29 03:31:52,59K-124K,Avaveo,4.0,          Texas         ,San Antonio,30.0 to 51.0 employees,686.6666666666666
128,Structural,Engineer,2017-08-25 15:54:14,2017-11-20 15:54:14,22K-101K,Gigaclub,6.0,          Indiana         ,Indianapolis,50.0 to 85.0 employees,770.0
129,Recruiter,,2016-08-21 23:57:29,2016-10-19 23:57:29,36K-148K,Flipstorm,7.0,          Washington         ,Spokane,60.0 to 102.0 employees,797.7777777777777
130,Biostatistician,IV,2020-06-19 05:01:44,2020-09-20 05:01:44,35K-141K,Jetwire,5.0,          Michigan         ,Lansing,40.0 to 68.0 employees,734.2857142857142
131,Account,Representative I,2016-07-29 15:48:50,2016-10-12 15:48:50,84K-142K,Quamba,4.0,          Mississippi         ,Meridian,30.0 to 51.0 employees,686.6666666666666
132,Registered,Nurse,2017-09-09 10:21:13,2017-10-16 10:21:13,23K-143K,Voomm,3.0,          Kansas         ,Shawnee Mission,20.0 to 34.0 employees,620.0
133,Senior,Cost Accountant,2016-11-08 19:11:51,2017-01-25 19:11:51,13K-115K,Vinte,3.0,          Illinois         ,Chicago,20.0 to 34.0 employees,620.0
134,Account,Representative I,2019-08-20 11:13:56,2019-11-26 11:13:56,80K-105K,Linktype,6.0,          Texas         ,Houston,50.0 to 85.0 employees,770.0
135,Structural,Engineer,2020-08-05 19:35:32,2020-09-24 19:35:32,21K-132K,Avamba,4.0,          Texas         ,Houston,30.0 to 51.0 employees,686.6666666666666
136,Cost,Accountant,2017-05-07 17:47:58,2017-05-09 17:47:58,87K-149K,Browsecat,7.0,          Oklahoma         ,Tulsa,60.0 to 102.0 employees,797.7777777777777
137,Legal,Assistant,2018-06-21 21:07:09,2018-07-12 21:07:09,49K-197K,Devcast,5.0,          Florida         ,Fort Myers,40.0 to 68.0 employees,734.2857142857142
138,Help,Desk Operator,2021-01-14 23:34:56,2021-01-27 23:34:56,91K-102K,Skyvu,3.0,          Oklahoma         ,Oklahoma City,20.0 to 34.0 employees,620.0
139,Research,Associate,2020-02-01 17:10:23,2020-04-21 17:10:23,84K-162K,Einti,3.0,          Texas         ,El Paso,20.0 to 34.0 employees,620.0
140,Assistant,Media Planner,2020-08-28 05:17:32,2020-11-10 05:17:32,17K-132K,Kwideo,4.0,          Texas         ,Dallas,30.0 to 51.0 employees,686.6666666666666
141,Senior,Cost Accountant,2019-11-03 16:18:37,2019-12-30 16:18:37,50K-102K,Minyx,3.0,          Georgia         ,Athens,20.0 to 34.0 employees,620.0
142,Environmental,Specialist,2017-07-25 20:10:58,2017-08-02 20:10:58,67K-140K,Topicstorm,8.0,          West Virginia         ,Huntington,70.0 to 119.0 employees,820.0
143,Payment,Adjustment Coordinator,2016-07-26 03:06:52,2016-09-11 03:06:52,38K-147K,Gevee,3.0,          Florida         ,Daytona Beach,20.0 to 34.0 employees,620.0
144,Research,Nurse,2020-06-17 06:19:51,2020-08-11 06:19:51,47K-131K,Livetube,6.0,          District of Columbia         ,Washington,50.0 to 85.0 employees,770.0
145,Structural,Analysis Engineer,2018-12-11 06:00:48,2019-01-09 06:00:48,33K-131K,Eamia,3.0,          Hawaii         ,Honolulu,20.0 to 34.0 employees,620.0
146,Food,Chemist,2019-02-03 03:03:16,2019-05-02 03:03:16,88K-123K,Flipopia,6.0,          New York         ,Flushing,50.0 to 85.0 employees,770.0
147,Product,Engineer,2016-12-29 06:31:42,2017-01-19 06:31:42,50K-110K,Chatterbridge,11.0,          Florida         ,Fort Lauderdale,100.0 to 170.0 employees,866.1538461538463
148,Business,Systems Development Analyst,2020-06-17 06:16:20,2020-09-01 06:16:20,77K-120K,Yodoo,3.0,          Illinois         ,Peoria,20.0 to 34.0 employees,620.0
149,Senior,Editor,2017-02-08 15:06:27,2017-02-19 15:06:27,96K-123K,Skynoodle,7.0,          Louisiana         ,Lake Charles,60.0 to 102.0 employees,797.7777777777777
150,Programmer,Analyst IV,2019-09-19 20:55:48,2019-10-16 20:55:48,43K-116K,Topiczoom,7.0,          Iowa         ,Des Moines,60.0 to 102.0 employees,797.7777777777777
151,Staff,Accountant III,2016-09-19 00:59:49,2016-11-03 00:59:49,15K-102K,Oyondu,4.0,          California         ,Santa Barbara,30.0 to 51.0 employees,686.6666666666666
152,Senior,Financial Analyst,2019-09-25 22:01:46,2019-12-12 22:01:46,78K-197K,Oozz,2.0,          Louisiana         ,Baton Rouge,10.0 to 17.0 employees,520.0
153,Pharmacist,,2019-09-11 23:46:53,2019-11-07 23:46:53,86K-187K,Oozz,2.0,          Texas         ,San Antonio,10.0 to 17.0 employees,520.0
154,Environmental,Tech,2020-02-20 19:54:33,2020-02-29 19:54:33,28K-131K,Thoughtbeat,9.0,          Florida         ,Miami Beach,80.0 to 136.0 employees,838.1818181818182
155,Research,Assistant IV,2018-01-01 06:02:54,2018-03-12 06:02:54,75K-138K,Skiptube,6.0,          North Carolina         ,Charlotte,50.0 to 85.0 employees,770.0
156,Structural,Analysis Engineer,2018-09-15 10:11:39,2018-11-17 10:11:39,88K-177K,Photojam,6.0,          North Carolina         ,Charlotte,50.0 to 85.0 employees,770.0
157,Internal,Auditor,2017-05-16 04:33:00,2017-07-30 04:33:00,59K-157K,Skidoo,4.0,          Arizona         ,Glendale,30.0 to 51.0 employees,686.6666666666666
158,Senior,Quality Engineer,2019-11-16 21:01:14,2020-01-13 21:01:14,49K-193K,Meejo,3.0,          Tennessee         ,Knoxville,20.0 to 34.0 employees,620.0
159,Web,Designer I,2016-11-12 05:28:41,2017-02-01 05:28:41,77K-200K,Jamia,3.0,          Missouri         ,Saint Louis,20.0 to 34.0 employees,620.0
160,Computer,Systems Analyst III,2016-02-15 00:02:14,2016-05-04 00:02:14,20K-118K,Ooba,2.0,          Washington         ,Spokane,10.0 to 17.0 employees,520.0
